rank,image_path
3337,3337_ILSVRC2012_val_00023699.JPEG
5945,5945_ILSVRC2012_val_00043176.JPEG
9208,9208_ILSVRC2012_val_00009181.JPEG
10056,10056_ILSVRC2012_val_00036313.JPEG
10954,10954_ILSVRC2012_val_00036480.JPEG
11156,11156_ILSVRC2012_val_00017810.JPEG
12568,12568_ILSVRC2012_val_00048747.JPEG
12660,12660_ILSVRC2012_val_00007009.JPEG
12824,12824_ILSVRC2012_val_00047556.JPEG
13506,13506_ILSVRC2012_val_00020032.JPEG
14281,14281_ILSVRC2012_val_00036000.JPEG
16772,16772_ILSVRC2012_val_00000359.JPEG
21806,21806_ILSVRC2012_val_00030683.JPEG
24063,24063_ILSVRC2012_val_00046352.JPEG
25162,25162_ILSVRC2012_val_00033154.JPEG
26980,26980_ILSVRC2012_val_00025475.JPEG
29346,29346_ILSVRC2012_val_00009884.JPEG
29686,29686_ILSVRC2012_val_00000855.JPEG
29742,29742_ILSVRC2012_val_00031299.JPEG
30697,30697_ILSVRC2012_val_00039878.JPEG
30728,30728_ILSVRC2012_val_00044067.JPEG
32131,32131_ILSVRC2012_val_00029482.JPEG
32611,32611_ILSVRC2012_val_00020665.JPEG
33306,33306_ILSVRC2012_val_00012587.JPEG
34149,34149_ILSVRC2012_val_00017890.JPEG
34189,34189_ILSVRC2012_val_00006181.JPEG
37314,37314_ILSVRC2012_val_00026150.JPEG
38196,38196_ILSVRC2012_val_00035416.JPEG
40173,40173_ILSVRC2012_val_00013060.JPEG
40659,40659_ILSVRC2012_val_00018182.JPEG
41803,41803_ILSVRC2012_val_00011439.JPEG
42262,42262_ILSVRC2012_val_00027626.JPEG
43830,43830_ILSVRC2012_val_00043055.JPEG
44074,44074_ILSVRC2012_val_00029193.JPEG
44528,44528_ILSVRC2012_val_00029488.JPEG
44653,44653_ILSVRC2012_val_00048132.JPEG
44948,44948_ILSVRC2012_val_00035676.JPEG
45545,45545_ILSVRC2012_val_00028008.JPEG
47382,47382_ILSVRC2012_val_00006803.JPEG
47837,47837_ILSVRC2012_val_00009467.JPEG
47887,47887_ILSVRC2012_val_00005509.JPEG
48318,48318_ILSVRC2012_val_00007448.JPEG
48436,48436_ILSVRC2012_val_00024770.JPEG
48710,48710_ILSVRC2012_val_00003379.JPEG
48854,48854_ILSVRC2012_val_00046397.JPEG
49225,49225_ILSVRC2012_val_00048655.JPEG
49577,49577_ILSVRC2012_val_00001947.JPEG
49803,49803_ILSVRC2012_val_00045993.JPEG
49874,49874_ILSVRC2012_val_00009266.JPEG
49968,49968_ILSVRC2012_val_00039354.JPEG
