rank,image_path
17388,17388_ILSVRC2012_val_00034870.JPEG
18723,18723_ILSVRC2012_val_00024027.JPEG
19901,19901_ILSVRC2012_val_00013112.JPEG
20702,20702_ILSVRC2012_val_00039211.JPEG
25298,25298_ILSVRC2012_val_00048994.JPEG
29175,29175_ILSVRC2012_val_00039287.JPEG
35219,35219_ILSVRC2012_val_00016985.JPEG
36171,36171_ILSVRC2012_val_00047773.JPEG
37292,37292_ILSVRC2012_val_00036764.JPEG
39080,39080_ILSVRC2012_val_00004567.JPEG
39391,39391_ILSVRC2012_val_00022531.JPEG
39887,39887_ILSVRC2012_val_00001977.JPEG
39896,39896_ILSVRC2012_val_00040268.JPEG
39971,39971_ILSVRC2012_val_00037859.JPEG
40020,40020_ILSVRC2012_val_00045471.JPEG
40125,40125_ILSVRC2012_val_00019541.JPEG
40161,40161_ILSVRC2012_val_00049058.JPEG
40569,40569_ILSVRC2012_val_00010684.JPEG
41460,41460_ILSVRC2012_val_00033291.JPEG
41566,41566_ILSVRC2012_val_00049538.JPEG
41823,41823_ILSVRC2012_val_00011481.JPEG
42546,42546_ILSVRC2012_val_00022870.JPEG
42602,42602_ILSVRC2012_val_00008145.JPEG
42776,42776_ILSVRC2012_val_00042131.JPEG
42823,42823_ILSVRC2012_val_00020956.JPEG
43479,43479_ILSVRC2012_val_00031590.JPEG
43588,43588_ILSVRC2012_val_00024927.JPEG
44478,44478_ILSVRC2012_val_00007617.JPEG
44743,44743_ILSVRC2012_val_00043645.JPEG
44973,44973_ILSVRC2012_val_00022493.JPEG
44999,44999_ILSVRC2012_val_00033478.JPEG
45600,45600_ILSVRC2012_val_00045642.JPEG
46304,46304_ILSVRC2012_val_00014001.JPEG
46651,46651_ILSVRC2012_val_00044568.JPEG
46705,46705_ILSVRC2012_val_00043869.JPEG
46795,46795_ILSVRC2012_val_00010432.JPEG
47177,47177_ILSVRC2012_val_00048805.JPEG
47428,47428_ILSVRC2012_val_00034022.JPEG
47467,47467_ILSVRC2012_val_00037006.JPEG
47746,47746_ILSVRC2012_val_00027231.JPEG
47811,47811_ILSVRC2012_val_00040880.JPEG
48018,48018_ILSVRC2012_val_00038605.JPEG
48220,48220_ILSVRC2012_val_00034287.JPEG
48234,48234_ILSVRC2012_val_00012671.JPEG
48886,48886_ILSVRC2012_val_00010514.JPEG
48892,48892_ILSVRC2012_val_00043036.JPEG
49220,49220_ILSVRC2012_val_00037587.JPEG
49580,49580_ILSVRC2012_val_00021849.JPEG
49868,49868_ILSVRC2012_val_00019407.JPEG
49937,49937_ILSVRC2012_val_00017007.JPEG
