rank,image_path
75,75_ILSVRC2012_val_00010806.JPEG
209,209_ILSVRC2012_val_00021922.JPEG
1308,1308_ILSVRC2012_val_00011742.JPEG
2548,2548_ILSVRC2012_val_00048415.JPEG
3283,3283_ILSVRC2012_val_00043137.JPEG
6161,6161_ILSVRC2012_val_00048584.JPEG
7470,7470_ILSVRC2012_val_00038105.JPEG
7576,7576_ILSVRC2012_val_00010662.JPEG
7709,7709_ILSVRC2012_val_00030534.JPEG
9020,9020_ILSVRC2012_val_00018920.JPEG
10033,10033_ILSVRC2012_val_00002419.JPEG
10070,10070_ILSVRC2012_val_00048483.JPEG
11135,11135_ILSVRC2012_val_00001914.JPEG
11805,11805_ILSVRC2012_val_00015297.JPEG
15167,15167_ILSVRC2012_val_00019291.JPEG
15193,15193_ILSVRC2012_val_00009386.JPEG
16741,16741_ILSVRC2012_val_00000984.JPEG
16939,16939_ILSVRC2012_val_00029251.JPEG
17171,17171_ILSVRC2012_val_00026077.JPEG
18413,18413_ILSVRC2012_val_00033849.JPEG
19954,19954_ILSVRC2012_val_00044845.JPEG
21788,21788_ILSVRC2012_val_00030550.JPEG
22353,22353_ILSVRC2012_val_00034306.JPEG
22677,22677_ILSVRC2012_val_00010374.JPEG
23696,23696_ILSVRC2012_val_00027437.JPEG
25020,25020_ILSVRC2012_val_00018498.JPEG
25960,25960_ILSVRC2012_val_00003474.JPEG
26367,26367_ILSVRC2012_val_00049924.JPEG
27040,27040_ILSVRC2012_val_00009815.JPEG
30130,30130_ILSVRC2012_val_00014112.JPEG
30691,30691_ILSVRC2012_val_00044945.JPEG
31139,31139_ILSVRC2012_val_00039467.JPEG
31264,31264_ILSVRC2012_val_00001262.JPEG
32811,32811_ILSVRC2012_val_00001276.JPEG
34423,34423_ILSVRC2012_val_00003138.JPEG
36353,36353_ILSVRC2012_val_00037921.JPEG
37630,37630_ILSVRC2012_val_00044940.JPEG
38518,38518_ILSVRC2012_val_00040982.JPEG
38835,38835_ILSVRC2012_val_00035083.JPEG
39233,39233_ILSVRC2012_val_00012849.JPEG
40113,40113_ILSVRC2012_val_00004742.JPEG
40217,40217_ILSVRC2012_val_00027770.JPEG
41175,41175_ILSVRC2012_val_00048986.JPEG
43845,43845_ILSVRC2012_val_00038693.JPEG
44520,44520_ILSVRC2012_val_00004648.JPEG
44628,44628_ILSVRC2012_val_00029032.JPEG
46015,46015_ILSVRC2012_val_00019870.JPEG
46125,46125_ILSVRC2012_val_00022289.JPEG
48822,48822_ILSVRC2012_val_00042343.JPEG
48850,48850_ILSVRC2012_val_00016870.JPEG
