rank,image_path
181,181_ILSVRC2012_val_00048676.JPEG
411,411_ILSVRC2012_val_00006614.JPEG
6177,6177_ILSVRC2012_val_00037126.JPEG
10470,10470_ILSVRC2012_val_00024014.JPEG
15729,15729_ILSVRC2012_val_00015603.JPEG
16914,16914_ILSVRC2012_val_00013422.JPEG
19434,19434_ILSVRC2012_val_00029410.JPEG
19577,19577_ILSVRC2012_val_00031928.JPEG
19887,19887_ILSVRC2012_val_00004919.JPEG
20973,20973_ILSVRC2012_val_00031227.JPEG
21215,21215_ILSVRC2012_val_00006867.JPEG
21688,21688_ILSVRC2012_val_00048076.JPEG
21804,21804_ILSVRC2012_val_00046314.JPEG
22291,22291_ILSVRC2012_val_00006823.JPEG
23721,23721_ILSVRC2012_val_00045910.JPEG
25335,25335_ILSVRC2012_val_00041381.JPEG
26030,26030_ILSVRC2012_val_00017727.JPEG
26058,26058_ILSVRC2012_val_00029227.JPEG
26470,26470_ILSVRC2012_val_00041506.JPEG
26562,26562_ILSVRC2012_val_00021688.JPEG
27046,27046_ILSVRC2012_val_00044361.JPEG
27136,27136_ILSVRC2012_val_00006595.JPEG
27300,27300_ILSVRC2012_val_00018106.JPEG
28445,28445_ILSVRC2012_val_00036405.JPEG
28551,28551_ILSVRC2012_val_00045848.JPEG
29176,29176_ILSVRC2012_val_00047392.JPEG
30063,30063_ILSVRC2012_val_00029307.JPEG
31193,31193_ILSVRC2012_val_00041250.JPEG
31199,31199_ILSVRC2012_val_00018022.JPEG
31249,31249_ILSVRC2012_val_00040132.JPEG
31596,31596_ILSVRC2012_val_00046784.JPEG
33563,33563_ILSVRC2012_val_00015056.JPEG
33904,33904_ILSVRC2012_val_00044476.JPEG
34823,34823_ILSVRC2012_val_00017552.JPEG
35440,35440_ILSVRC2012_val_00034014.JPEG
36550,36550_ILSVRC2012_val_00035526.JPEG
37041,37041_ILSVRC2012_val_00013153.JPEG
37168,37168_ILSVRC2012_val_00007520.JPEG
37498,37498_ILSVRC2012_val_00010411.JPEG
37610,37610_ILSVRC2012_val_00017893.JPEG
39645,39645_ILSVRC2012_val_00003444.JPEG
39688,39688_ILSVRC2012_val_00023834.JPEG
39996,39996_ILSVRC2012_val_00032989.JPEG
41103,41103_ILSVRC2012_val_00047337.JPEG
41185,41185_ILSVRC2012_val_00008858.JPEG
41396,41396_ILSVRC2012_val_00000926.JPEG
42154,42154_ILSVRC2012_val_00020053.JPEG
42617,42617_ILSVRC2012_val_00001529.JPEG
47089,47089_ILSVRC2012_val_00028427.JPEG
47620,47620_ILSVRC2012_val_00026324.JPEG
