rank,image_path
68,68_ILSVRC2012_val_00033483.JPEG
215,215_ILSVRC2012_val_00003092.JPEG
316,316_ILSVRC2012_val_00032667.JPEG
731,731_ILSVRC2012_val_00033150.JPEG
1094,1094_ILSVRC2012_val_00000963.JPEG
1123,1123_ILSVRC2012_val_00011501.JPEG
1448,1448_ILSVRC2012_val_00008347.JPEG
1809,1809_ILSVRC2012_val_00024044.JPEG
1953,1953_ILSVRC2012_val_00034437.JPEG
2657,2657_ILSVRC2012_val_00006171.JPEG
3248,3248_ILSVRC2012_val_00018183.JPEG
3334,3334_ILSVRC2012_val_00003665.JPEG
4041,4041_ILSVRC2012_val_00040938.JPEG
4244,4244_ILSVRC2012_val_00004518.JPEG
4957,4957_ILSVRC2012_val_00008786.JPEG
5566,5566_ILSVRC2012_val_00030073.JPEG
8890,8890_ILSVRC2012_val_00030845.JPEG
8992,8992_ILSVRC2012_val_00002536.JPEG
10780,10780_ILSVRC2012_val_00037436.JPEG
12030,12030_ILSVRC2012_val_00040439.JPEG
12539,12539_ILSVRC2012_val_00044192.JPEG
12716,12716_ILSVRC2012_val_00003762.JPEG
12820,12820_ILSVRC2012_val_00039219.JPEG
13422,13422_ILSVRC2012_val_00046917.JPEG
13521,13521_ILSVRC2012_val_00037920.JPEG
14147,14147_ILSVRC2012_val_00037824.JPEG
14828,14828_ILSVRC2012_val_00036015.JPEG
16203,16203_ILSVRC2012_val_00025806.JPEG
18059,18059_ILSVRC2012_val_00007231.JPEG
18297,18297_ILSVRC2012_val_00021956.JPEG
18550,18550_ILSVRC2012_val_00047827.JPEG
19511,19511_ILSVRC2012_val_00041206.JPEG
21028,21028_ILSVRC2012_val_00018250.JPEG
22209,22209_ILSVRC2012_val_00044507.JPEG
23025,23025_ILSVRC2012_val_00004559.JPEG
23414,23414_ILSVRC2012_val_00008512.JPEG
24775,24775_ILSVRC2012_val_00017648.JPEG
25738,25738_ILSVRC2012_val_00010501.JPEG
26216,26216_ILSVRC2012_val_00030017.JPEG
26998,26998_ILSVRC2012_val_00035348.JPEG
27647,27647_ILSVRC2012_val_00029695.JPEG
30582,30582_ILSVRC2012_val_00016794.JPEG
31511,31511_ILSVRC2012_val_00024025.JPEG
32073,32073_ILSVRC2012_val_00000476.JPEG
32126,32126_ILSVRC2012_val_00039004.JPEG
33728,33728_ILSVRC2012_val_00037806.JPEG
33733,33733_ILSVRC2012_val_00009981.JPEG
37915,37915_ILSVRC2012_val_00045948.JPEG
42577,42577_ILSVRC2012_val_00041051.JPEG
46111,46111_ILSVRC2012_val_00041135.JPEG
