rank,image_path
995,995_ILSVRC2012_val_00030503.JPEG
1485,1485_ILSVRC2012_val_00043368.JPEG
2149,2149_ILSVRC2012_val_00047916.JPEG
2937,2937_ILSVRC2012_val_00042901.JPEG
3247,3247_ILSVRC2012_val_00034003.JPEG
3732,3732_ILSVRC2012_val_00038533.JPEG
3924,3924_ILSVRC2012_val_00024544.JPEG
8070,8070_ILSVRC2012_val_00048679.JPEG
8176,8176_ILSVRC2012_val_00043083.JPEG
8601,8601_ILSVRC2012_val_00035052.JPEG
9187,9187_ILSVRC2012_val_00036617.JPEG
9349,9349_ILSVRC2012_val_00012031.JPEG
9600,9600_ILSVRC2012_val_00011151.JPEG
10474,10474_ILSVRC2012_val_00032424.JPEG
10708,10708_ILSVRC2012_val_00010814.JPEG
11042,11042_ILSVRC2012_val_00028280.JPEG
14230,14230_ILSVRC2012_val_00045895.JPEG
17154,17154_ILSVRC2012_val_00000152.JPEG
17357,17357_ILSVRC2012_val_00003949.JPEG
17936,17936_ILSVRC2012_val_00047489.JPEG
18802,18802_ILSVRC2012_val_00010118.JPEG
19340,19340_ILSVRC2012_val_00007759.JPEG
21762,21762_ILSVRC2012_val_00019392.JPEG
24174,24174_ILSVRC2012_val_00026765.JPEG
24306,24306_ILSVRC2012_val_00039349.JPEG
25247,25247_ILSVRC2012_val_00028333.JPEG
25512,25512_ILSVRC2012_val_00000364.JPEG
28158,28158_ILSVRC2012_val_00047283.JPEG
28302,28302_ILSVRC2012_val_00035424.JPEG
28674,28674_ILSVRC2012_val_00013096.JPEG
28767,28767_ILSVRC2012_val_00027177.JPEG
29031,29031_ILSVRC2012_val_00041167.JPEG
29363,29363_ILSVRC2012_val_00012802.JPEG
29619,29619_ILSVRC2012_val_00044062.JPEG
30050,30050_ILSVRC2012_val_00002203.JPEG
31130,31130_ILSVRC2012_val_00008671.JPEG
33314,33314_ILSVRC2012_val_00001322.JPEG
33442,33442_ILSVRC2012_val_00004092.JPEG
35172,35172_ILSVRC2012_val_00030100.JPEG
35703,35703_ILSVRC2012_val_00024783.JPEG
35849,35849_ILSVRC2012_val_00048316.JPEG
36679,36679_ILSVRC2012_val_00018245.JPEG
38321,38321_ILSVRC2012_val_00045717.JPEG
38654,38654_ILSVRC2012_val_00019006.JPEG
39661,39661_ILSVRC2012_val_00045727.JPEG
43374,43374_ILSVRC2012_val_00047418.JPEG
45030,45030_ILSVRC2012_val_00048410.JPEG
45074,45074_ILSVRC2012_val_00025673.JPEG
46892,46892_ILSVRC2012_val_00040946.JPEG
48279,48279_ILSVRC2012_val_00028700.JPEG
