rank,image_path
91,91_ILSVRC2012_val_00013248.JPEG
576,576_ILSVRC2012_val_00012708.JPEG
1776,1776_ILSVRC2012_val_00011323.JPEG
1910,1910_ILSVRC2012_val_00034305.JPEG
2568,2568_ILSVRC2012_val_00026164.JPEG
3668,3668_ILSVRC2012_val_00016172.JPEG
3900,3900_ILSVRC2012_val_00030061.JPEG
4839,4839_ILSVRC2012_val_00005984.JPEG
4901,4901_ILSVRC2012_val_00023926.JPEG
6144,6144_ILSVRC2012_val_00047215.JPEG
7087,7087_ILSVRC2012_val_00045943.JPEG
7846,7846_ILSVRC2012_val_00043318.JPEG
8134,8134_ILSVRC2012_val_00025426.JPEG
8517,8517_ILSVRC2012_val_00048948.JPEG
8950,8950_ILSVRC2012_val_00008923.JPEG
9060,9060_ILSVRC2012_val_00027780.JPEG
9082,9082_ILSVRC2012_val_00033785.JPEG
10218,10218_ILSVRC2012_val_00030239.JPEG
10432,10432_ILSVRC2012_val_00019272.JPEG
11262,11262_ILSVRC2012_val_00043021.JPEG
13613,13613_ILSVRC2012_val_00019957.JPEG
15015,15015_ILSVRC2012_val_00039782.JPEG
16654,16654_ILSVRC2012_val_00032887.JPEG
17011,17011_ILSVRC2012_val_00037083.JPEG
17183,17183_ILSVRC2012_val_00013763.JPEG
17373,17373_ILSVRC2012_val_00017275.JPEG
18067,18067_ILSVRC2012_val_00018087.JPEG
19023,19023_ILSVRC2012_val_00038991.JPEG
19778,19778_ILSVRC2012_val_00027372.JPEG
20513,20513_ILSVRC2012_val_00010693.JPEG
20567,20567_ILSVRC2012_val_00025720.JPEG
20901,20901_ILSVRC2012_val_00027807.JPEG
21725,21725_ILSVRC2012_val_00030963.JPEG
22435,22435_ILSVRC2012_val_00036147.JPEG
22808,22808_ILSVRC2012_val_00046759.JPEG
22931,22931_ILSVRC2012_val_00028535.JPEG
22943,22943_ILSVRC2012_val_00011433.JPEG
25483,25483_ILSVRC2012_val_00035189.JPEG
27015,27015_ILSVRC2012_val_00037799.JPEG
29126,29126_ILSVRC2012_val_00021991.JPEG
29147,29147_ILSVRC2012_val_00016658.JPEG
30711,30711_ILSVRC2012_val_00037351.JPEG
31927,31927_ILSVRC2012_val_00034341.JPEG
32507,32507_ILSVRC2012_val_00003176.JPEG
32875,32875_ILSVRC2012_val_00004754.JPEG
38625,38625_ILSVRC2012_val_00023289.JPEG
38724,38724_ILSVRC2012_val_00018552.JPEG
39591,39591_ILSVRC2012_val_00011989.JPEG
41837,41837_ILSVRC2012_val_00045440.JPEG
49408,49408_ILSVRC2012_val_00016977.JPEG
