rank,image_path
4292,4292_ILSVRC2012_val_00046240.JPEG
6529,6529_ILSVRC2012_val_00004111.JPEG
11085,11085_ILSVRC2012_val_00048949.JPEG
13957,13957_ILSVRC2012_val_00027636.JPEG
15155,15155_ILSVRC2012_val_00031901.JPEG
16033,16033_ILSVRC2012_val_00020893.JPEG
16882,16882_ILSVRC2012_val_00040392.JPEG
17409,17409_ILSVRC2012_val_00010146.JPEG
19380,19380_ILSVRC2012_val_00026974.JPEG
20168,20168_ILSVRC2012_val_00020086.JPEG
21174,21174_ILSVRC2012_val_00043885.JPEG
21615,21615_ILSVRC2012_val_00030867.JPEG
22461,22461_ILSVRC2012_val_00046047.JPEG
22698,22698_ILSVRC2012_val_00018986.JPEG
23502,23502_ILSVRC2012_val_00038646.JPEG
24853,24853_ILSVRC2012_val_00040196.JPEG
25066,25066_ILSVRC2012_val_00016896.JPEG
28533,28533_ILSVRC2012_val_00024554.JPEG
28678,28678_ILSVRC2012_val_00005542.JPEG
29089,29089_ILSVRC2012_val_00003358.JPEG
30561,30561_ILSVRC2012_val_00032106.JPEG
31921,31921_ILSVRC2012_val_00042714.JPEG
32103,32103_ILSVRC2012_val_00045616.JPEG
32981,32981_ILSVRC2012_val_00028334.JPEG
33676,33676_ILSVRC2012_val_00019135.JPEG
34441,34441_ILSVRC2012_val_00040111.JPEG
36143,36143_ILSVRC2012_val_00003678.JPEG
36940,36940_ILSVRC2012_val_00006891.JPEG
37462,37462_ILSVRC2012_val_00001318.JPEG
37678,37678_ILSVRC2012_val_00022315.JPEG
37819,37819_ILSVRC2012_val_00023002.JPEG
37974,37974_ILSVRC2012_val_00009495.JPEG
39111,39111_ILSVRC2012_val_00021833.JPEG
39559,39559_ILSVRC2012_val_00022984.JPEG
39778,39778_ILSVRC2012_val_00016447.JPEG
40587,40587_ILSVRC2012_val_00019217.JPEG
41129,41129_ILSVRC2012_val_00017758.JPEG
41583,41583_ILSVRC2012_val_00036807.JPEG
41958,41958_ILSVRC2012_val_00009627.JPEG
42302,42302_ILSVRC2012_val_00045254.JPEG
42520,42520_ILSVRC2012_val_00006806.JPEG
43489,43489_ILSVRC2012_val_00039781.JPEG
43509,43509_ILSVRC2012_val_00027318.JPEG
44704,44704_ILSVRC2012_val_00015528.JPEG
45355,45355_ILSVRC2012_val_00003433.JPEG
46118,46118_ILSVRC2012_val_00006201.JPEG
46727,46727_ILSVRC2012_val_00049486.JPEG
48325,48325_ILSVRC2012_val_00032305.JPEG
48562,48562_ILSVRC2012_val_00040744.JPEG
49302,49302_ILSVRC2012_val_00017433.JPEG
