rank,image_path
1428,1428_ILSVRC2012_val_00024371.JPEG
1519,1519_ILSVRC2012_val_00038452.JPEG
1857,1857_ILSVRC2012_val_00001742.JPEG
4147,4147_ILSVRC2012_val_00023299.JPEG
4537,4537_ILSVRC2012_val_00028655.JPEG
5615,5615_ILSVRC2012_val_00032687.JPEG
7187,7187_ILSVRC2012_val_00039182.JPEG
8235,8235_ILSVRC2012_val_00041174.JPEG
8477,8477_ILSVRC2012_val_00017408.JPEG
9243,9243_ILSVRC2012_val_00026239.JPEG
9368,9368_ILSVRC2012_val_00026450.JPEG
10853,10853_ILSVRC2012_val_00017410.JPEG
13448,13448_ILSVRC2012_val_00043148.JPEG
13680,13680_ILSVRC2012_val_00040642.JPEG
14014,14014_ILSVRC2012_val_00049426.JPEG
15307,15307_ILSVRC2012_val_00016283.JPEG
15443,15443_ILSVRC2012_val_00024744.JPEG
16191,16191_ILSVRC2012_val_00008046.JPEG
16556,16556_ILSVRC2012_val_00037627.JPEG
17907,17907_ILSVRC2012_val_00046692.JPEG
18092,18092_ILSVRC2012_val_00025454.JPEG
19675,19675_ILSVRC2012_val_00039283.JPEG
19967,19967_ILSVRC2012_val_00002132.JPEG
20089,20089_ILSVRC2012_val_00046893.JPEG
21390,21390_ILSVRC2012_val_00012478.JPEG
21911,21911_ILSVRC2012_val_00032885.JPEG
22467,22467_ILSVRC2012_val_00016368.JPEG
22770,22770_ILSVRC2012_val_00033234.JPEG
23525,23525_ILSVRC2012_val_00024406.JPEG
24870,24870_ILSVRC2012_val_00021855.JPEG
25276,25276_ILSVRC2012_val_00034460.JPEG
25653,25653_ILSVRC2012_val_00029590.JPEG
26323,26323_ILSVRC2012_val_00047118.JPEG
27465,27465_ILSVRC2012_val_00004864.JPEG
30215,30215_ILSVRC2012_val_00000779.JPEG
30889,30889_ILSVRC2012_val_00013532.JPEG
31274,31274_ILSVRC2012_val_00024122.JPEG
31485,31485_ILSVRC2012_val_00016694.JPEG
32049,32049_ILSVRC2012_val_00032737.JPEG
32457,32457_ILSVRC2012_val_00007702.JPEG
33309,33309_ILSVRC2012_val_00035330.JPEG
34139,34139_ILSVRC2012_val_00005695.JPEG
34492,34492_ILSVRC2012_val_00003982.JPEG
37687,37687_ILSVRC2012_val_00028836.JPEG
38026,38026_ILSVRC2012_val_00037731.JPEG
38071,38071_ILSVRC2012_val_00026404.JPEG
38156,38156_ILSVRC2012_val_00033142.JPEG
39809,39809_ILSVRC2012_val_00048077.JPEG
42498,42498_ILSVRC2012_val_00006356.JPEG
49654,49654_ILSVRC2012_val_00046136.JPEG
