rank,image_path
906,906_ILSVRC2012_val_00028256.JPEG
1303,1303_ILSVRC2012_val_00045664.JPEG
1841,1841_ILSVRC2012_val_00016212.JPEG
3079,3079_ILSVRC2012_val_00028036.JPEG
3312,3312_ILSVRC2012_val_00024421.JPEG
3397,3397_ILSVRC2012_val_00026192.JPEG
3946,3946_ILSVRC2012_val_00002443.JPEG
4280,4280_ILSVRC2012_val_00010366.JPEG
4346,4346_ILSVRC2012_val_00043820.JPEG
4843,4843_ILSVRC2012_val_00041507.JPEG
4923,4923_ILSVRC2012_val_00037525.JPEG
5507,5507_ILSVRC2012_val_00027115.JPEG
5586,5586_ILSVRC2012_val_00036283.JPEG
6222,6222_ILSVRC2012_val_00018867.JPEG
7000,7000_ILSVRC2012_val_00031735.JPEG
7874,7874_ILSVRC2012_val_00042087.JPEG
10409,10409_ILSVRC2012_val_00048413.JPEG
10559,10559_ILSVRC2012_val_00047347.JPEG
12591,12591_ILSVRC2012_val_00026997.JPEG
13028,13028_ILSVRC2012_val_00049622.JPEG
13152,13152_ILSVRC2012_val_00001924.JPEG
13342,13342_ILSVRC2012_val_00021841.JPEG
15988,15988_ILSVRC2012_val_00017624.JPEG
16375,16375_ILSVRC2012_val_00034520.JPEG
18582,18582_ILSVRC2012_val_00038195.JPEG
18792,18792_ILSVRC2012_val_00000209.JPEG
20197,20197_ILSVRC2012_val_00010527.JPEG
21482,21482_ILSVRC2012_val_00042392.JPEG
21539,21539_ILSVRC2012_val_00022666.JPEG
21600,21600_ILSVRC2012_val_00021275.JPEG
22869,22869_ILSVRC2012_val_00024407.JPEG
26770,26770_ILSVRC2012_val_00046870.JPEG
28633,28633_ILSVRC2012_val_00012233.JPEG
29417,29417_ILSVRC2012_val_00039739.JPEG
29655,29655_ILSVRC2012_val_00006369.JPEG
31182,31182_ILSVRC2012_val_00011866.JPEG
33051,33051_ILSVRC2012_val_00046046.JPEG
33900,33900_ILSVRC2012_val_00011729.JPEG
34134,34134_ILSVRC2012_val_00044468.JPEG
35519,35519_ILSVRC2012_val_00018731.JPEG
35766,35766_ILSVRC2012_val_00040954.JPEG
37100,37100_ILSVRC2012_val_00006329.JPEG
37576,37576_ILSVRC2012_val_00037378.JPEG
39563,39563_ILSVRC2012_val_00010286.JPEG
39579,39579_ILSVRC2012_val_00003339.JPEG
39741,39741_ILSVRC2012_val_00048976.JPEG
43345,43345_ILSVRC2012_val_00019149.JPEG
43839,43839_ILSVRC2012_val_00028081.JPEG
45836,45836_ILSVRC2012_val_00005232.JPEG
46474,46474_ILSVRC2012_val_00001281.JPEG
