rank,image_path
1858,1858_ILSVRC2012_val_00036104.JPEG
8869,8869_ILSVRC2012_val_00022020.JPEG
12272,12272_ILSVRC2012_val_00037721.JPEG
14957,14957_ILSVRC2012_val_00026735.JPEG
15363,15363_ILSVRC2012_val_00039433.JPEG
16918,16918_ILSVRC2012_val_00009531.JPEG
17284,17284_ILSVRC2012_val_00038763.JPEG
17861,17861_ILSVRC2012_val_00042348.JPEG
18552,18552_ILSVRC2012_val_00007943.JPEG
19756,19756_ILSVRC2012_val_00046890.JPEG
19982,19982_ILSVRC2012_val_00025505.JPEG
20397,20397_ILSVRC2012_val_00020457.JPEG
22882,22882_ILSVRC2012_val_00034707.JPEG
25755,25755_ILSVRC2012_val_00028554.JPEG
26381,26381_ILSVRC2012_val_00008253.JPEG
26700,26700_ILSVRC2012_val_00030645.JPEG
28096,28096_ILSVRC2012_val_00022272.JPEG
28438,28438_ILSVRC2012_val_00012790.JPEG
29245,29245_ILSVRC2012_val_00031780.JPEG
30383,30383_ILSVRC2012_val_00008779.JPEG
30492,30492_ILSVRC2012_val_00027917.JPEG
33618,33618_ILSVRC2012_val_00033830.JPEG
35144,35144_ILSVRC2012_val_00019437.JPEG
35831,35831_ILSVRC2012_val_00022991.JPEG
35952,35952_ILSVRC2012_val_00000519.JPEG
37089,37089_ILSVRC2012_val_00042691.JPEG
37177,37177_ILSVRC2012_val_00039480.JPEG
37520,37520_ILSVRC2012_val_00038692.JPEG
38377,38377_ILSVRC2012_val_00045008.JPEG
38445,38445_ILSVRC2012_val_00048947.JPEG
39356,39356_ILSVRC2012_val_00003754.JPEG
39556,39556_ILSVRC2012_val_00004485.JPEG
41026,41026_ILSVRC2012_val_00047421.JPEG
41410,41410_ILSVRC2012_val_00013197.JPEG
42179,42179_ILSVRC2012_val_00017051.JPEG
42393,42393_ILSVRC2012_val_00005324.JPEG
42494,42494_ILSVRC2012_val_00039006.JPEG
42667,42667_ILSVRC2012_val_00023629.JPEG
43559,43559_ILSVRC2012_val_00015115.JPEG
43946,43946_ILSVRC2012_val_00020448.JPEG
44270,44270_ILSVRC2012_val_00035152.JPEG
44493,44493_ILSVRC2012_val_00036638.JPEG
44815,44815_ILSVRC2012_val_00035302.JPEG
44877,44877_ILSVRC2012_val_00021354.JPEG
46017,46017_ILSVRC2012_val_00001614.JPEG
47289,47289_ILSVRC2012_val_00043542.JPEG
47655,47655_ILSVRC2012_val_00015519.JPEG
47771,47771_ILSVRC2012_val_00029968.JPEG
48640,48640_ILSVRC2012_val_00035732.JPEG
49425,49425_ILSVRC2012_val_00029757.JPEG
