rank,image_path
577,577_ILSVRC2012_val_00013703.JPEG
4336,4336_ILSVRC2012_val_00005404.JPEG
5054,5054_ILSVRC2012_val_00037593.JPEG
5727,5727_ILSVRC2012_val_00014780.JPEG
8037,8037_ILSVRC2012_val_00016577.JPEG
8463,8463_ILSVRC2012_val_00019096.JPEG
9066,9066_ILSVRC2012_val_00007539.JPEG
11131,11131_ILSVRC2012_val_00010372.JPEG
12228,12228_ILSVRC2012_val_00046399.JPEG
13775,13775_ILSVRC2012_val_00007236.JPEG
14574,14574_ILSVRC2012_val_00032419.JPEG
16687,16687_ILSVRC2012_val_00046730.JPEG
16778,16778_ILSVRC2012_val_00044075.JPEG
19074,19074_ILSVRC2012_val_00041031.JPEG
19168,19168_ILSVRC2012_val_00021934.JPEG
19863,19863_ILSVRC2012_val_00013604.JPEG
20894,20894_ILSVRC2012_val_00031295.JPEG
21351,21351_ILSVRC2012_val_00023016.JPEG
21396,21396_ILSVRC2012_val_00039460.JPEG
22165,22165_ILSVRC2012_val_00016499.JPEG
22539,22539_ILSVRC2012_val_00005902.JPEG
23179,23179_ILSVRC2012_val_00048723.JPEG
24366,24366_ILSVRC2012_val_00009281.JPEG
24494,24494_ILSVRC2012_val_00005242.JPEG
24834,24834_ILSVRC2012_val_00016157.JPEG
25975,25975_ILSVRC2012_val_00010082.JPEG
26139,26139_ILSVRC2012_val_00019364.JPEG
26865,26865_ILSVRC2012_val_00035233.JPEG
27391,27391_ILSVRC2012_val_00004883.JPEG
27843,27843_ILSVRC2012_val_00037164.JPEG
27908,27908_ILSVRC2012_val_00027983.JPEG
28961,28961_ILSVRC2012_val_00004733.JPEG
30239,30239_ILSVRC2012_val_00045145.JPEG
30549,30549_ILSVRC2012_val_00043723.JPEG
30634,30634_ILSVRC2012_val_00007571.JPEG
33521,33521_ILSVRC2012_val_00024305.JPEG
35351,35351_ILSVRC2012_val_00012146.JPEG
35461,35461_ILSVRC2012_val_00004386.JPEG
37609,37609_ILSVRC2012_val_00008809.JPEG
38461,38461_ILSVRC2012_val_00005750.JPEG
39980,39980_ILSVRC2012_val_00022240.JPEG
40194,40194_ILSVRC2012_val_00004750.JPEG
43353,43353_ILSVRC2012_val_00034324.JPEG
44199,44199_ILSVRC2012_val_00030852.JPEG
45166,45166_ILSVRC2012_val_00015511.JPEG
45385,45385_ILSVRC2012_val_00039020.JPEG
45618,45618_ILSVRC2012_val_00040747.JPEG
46981,46981_ILSVRC2012_val_00016543.JPEG
47300,47300_ILSVRC2012_val_00026713.JPEG
48652,48652_ILSVRC2012_val_00027035.JPEG
