rank,image_path
851,851_ILSVRC2012_val_00022673.JPEG
6199,6199_ILSVRC2012_val_00039128.JPEG
7180,7180_ILSVRC2012_val_00029250.JPEG
7389,7389_ILSVRC2012_val_00028000.JPEG
10532,10532_ILSVRC2012_val_00018462.JPEG
17156,17156_ILSVRC2012_val_00027887.JPEG
17462,17462_ILSVRC2012_val_00021328.JPEG
17809,17809_ILSVRC2012_val_00048774.JPEG
17883,17883_ILSVRC2012_val_00028237.JPEG
17982,17982_ILSVRC2012_val_00001382.JPEG
19137,19137_ILSVRC2012_val_00000254.JPEG
20679,20679_ILSVRC2012_val_00012900.JPEG
20851,20851_ILSVRC2012_val_00020472.JPEG
21235,21235_ILSVRC2012_val_00009264.JPEG
22012,22012_ILSVRC2012_val_00042950.JPEG
22468,22468_ILSVRC2012_val_00025332.JPEG
25193,25193_ILSVRC2012_val_00035097.JPEG
25352,25352_ILSVRC2012_val_00020024.JPEG
25382,25382_ILSVRC2012_val_00017181.JPEG
25534,25534_ILSVRC2012_val_00023455.JPEG
28679,28679_ILSVRC2012_val_00026255.JPEG
29009,29009_ILSVRC2012_val_00014431.JPEG
30479,30479_ILSVRC2012_val_00024871.JPEG
31024,31024_ILSVRC2012_val_00009641.JPEG
31489,31489_ILSVRC2012_val_00024263.JPEG
31879,31879_ILSVRC2012_val_00034994.JPEG
32466,32466_ILSVRC2012_val_00039995.JPEG
33041,33041_ILSVRC2012_val_00045235.JPEG
34306,34306_ILSVRC2012_val_00044721.JPEG
35067,35067_ILSVRC2012_val_00013909.JPEG
37532,37532_ILSVRC2012_val_00009552.JPEG
38844,38844_ILSVRC2012_val_00042549.JPEG
39010,39010_ILSVRC2012_val_00025319.JPEG
39227,39227_ILSVRC2012_val_00003704.JPEG
40293,40293_ILSVRC2012_val_00049745.JPEG
40941,40941_ILSVRC2012_val_00038128.JPEG
41080,41080_ILSVRC2012_val_00029643.JPEG
41701,41701_ILSVRC2012_val_00005878.JPEG
43171,43171_ILSVRC2012_val_00035978.JPEG
43807,43807_ILSVRC2012_val_00024703.JPEG
45412,45412_ILSVRC2012_val_00026878.JPEG
46143,46143_ILSVRC2012_val_00016516.JPEG
47056,47056_ILSVRC2012_val_00004607.JPEG
47345,47345_ILSVRC2012_val_00043279.JPEG
48001,48001_ILSVRC2012_val_00020127.JPEG
48315,48315_ILSVRC2012_val_00036003.JPEG
48573,48573_ILSVRC2012_val_00001631.JPEG
48970,48970_ILSVRC2012_val_00049840.JPEG
48996,48996_ILSVRC2012_val_00044169.JPEG
49025,49025_ILSVRC2012_val_00028369.JPEG
