rank,image_path
310,310_ILSVRC2012_val_00016810.JPEG
511,511_ILSVRC2012_val_00016867.JPEG
1640,1640_ILSVRC2012_val_00032952.JPEG
2727,2727_ILSVRC2012_val_00023033.JPEG
3689,3689_ILSVRC2012_val_00019048.JPEG
5093,5093_ILSVRC2012_val_00020040.JPEG
5222,5222_ILSVRC2012_val_00037155.JPEG
6813,6813_ILSVRC2012_val_00047303.JPEG
7750,7750_ILSVRC2012_val_00034388.JPEG
8425,8425_ILSVRC2012_val_00020520.JPEG
10415,10415_ILSVRC2012_val_00023825.JPEG
11427,11427_ILSVRC2012_val_00046702.JPEG
12433,12433_ILSVRC2012_val_00008417.JPEG
12562,12562_ILSVRC2012_val_00033747.JPEG
13922,13922_ILSVRC2012_val_00011580.JPEG
15391,15391_ILSVRC2012_val_00017694.JPEG
15696,15696_ILSVRC2012_val_00003012.JPEG
18256,18256_ILSVRC2012_val_00030188.JPEG
19387,19387_ILSVRC2012_val_00003540.JPEG
19655,19655_ILSVRC2012_val_00022586.JPEG
21060,21060_ILSVRC2012_val_00022659.JPEG
21313,21313_ILSVRC2012_val_00022241.JPEG
21769,21769_ILSVRC2012_val_00031784.JPEG
21889,21889_ILSVRC2012_val_00018630.JPEG
22331,22331_ILSVRC2012_val_00040841.JPEG
23225,23225_ILSVRC2012_val_00049781.JPEG
23675,23675_ILSVRC2012_val_00022398.JPEG
23679,23679_ILSVRC2012_val_00017084.JPEG
23843,23843_ILSVRC2012_val_00023636.JPEG
24585,24585_ILSVRC2012_val_00041597.JPEG
25273,25273_ILSVRC2012_val_00028519.JPEG
27480,27480_ILSVRC2012_val_00036466.JPEG
29913,29913_ILSVRC2012_val_00048500.JPEG
31868,31868_ILSVRC2012_val_00000585.JPEG
32540,32540_ILSVRC2012_val_00027922.JPEG
34200,34200_ILSVRC2012_val_00023445.JPEG
34536,34536_ILSVRC2012_val_00047555.JPEG
35665,35665_ILSVRC2012_val_00019975.JPEG
35857,35857_ILSVRC2012_val_00036708.JPEG
38947,38947_ILSVRC2012_val_00000518.JPEG
40255,40255_ILSVRC2012_val_00003556.JPEG
44817,44817_ILSVRC2012_val_00033010.JPEG
47253,47253_ILSVRC2012_val_00023662.JPEG
47690,47690_ILSVRC2012_val_00036537.JPEG
48042,48042_ILSVRC2012_val_00008051.JPEG
48403,48403_ILSVRC2012_val_00014662.JPEG
49066,49066_ILSVRC2012_val_00049303.JPEG
49434,49434_ILSVRC2012_val_00005083.JPEG
49465,49465_ILSVRC2012_val_00039800.JPEG
49957,49957_ILSVRC2012_val_00032777.JPEG
