rank,image_path
207,207_ILSVRC2012_val_00036806.JPEG
377,377_ILSVRC2012_val_00045359.JPEG
3628,3628_ILSVRC2012_val_00016491.JPEG
6284,6284_ILSVRC2012_val_00016880.JPEG
9813,9813_ILSVRC2012_val_00016338.JPEG
11526,11526_ILSVRC2012_val_00007523.JPEG
14176,14176_ILSVRC2012_val_00030997.JPEG
14489,14489_ILSVRC2012_val_00004789.JPEG
16427,16427_ILSVRC2012_val_00018448.JPEG
16432,16432_ILSVRC2012_val_00046394.JPEG
16546,16546_ILSVRC2012_val_00004465.JPEG
17835,17835_ILSVRC2012_val_00028108.JPEG
18157,18157_ILSVRC2012_val_00001892.JPEG
18183,18183_ILSVRC2012_val_00010227.JPEG
19046,19046_ILSVRC2012_val_00010636.JPEG
21426,21426_ILSVRC2012_val_00027886.JPEG
21909,21909_ILSVRC2012_val_00014286.JPEG
22846,22846_ILSVRC2012_val_00015484.JPEG
23076,23076_ILSVRC2012_val_00022929.JPEG
24550,24550_ILSVRC2012_val_00001980.JPEG
24578,24578_ILSVRC2012_val_00003879.JPEG
24832,24832_ILSVRC2012_val_00009285.JPEG
25055,25055_ILSVRC2012_val_00022401.JPEG
25246,25246_ILSVRC2012_val_00038689.JPEG
25375,25375_ILSVRC2012_val_00018315.JPEG
26286,26286_ILSVRC2012_val_00043402.JPEG
26702,26702_ILSVRC2012_val_00008959.JPEG
26898,26898_ILSVRC2012_val_00042747.JPEG
27420,27420_ILSVRC2012_val_00016364.JPEG
28527,28527_ILSVRC2012_val_00038473.JPEG
28985,28985_ILSVRC2012_val_00004619.JPEG
29095,29095_ILSVRC2012_val_00037060.JPEG
29289,29289_ILSVRC2012_val_00030174.JPEG
29849,29849_ILSVRC2012_val_00046855.JPEG
29935,29935_ILSVRC2012_val_00023687.JPEG
31112,31112_ILSVRC2012_val_00043373.JPEG
32151,32151_ILSVRC2012_val_00036916.JPEG
33448,33448_ILSVRC2012_val_00024929.JPEG
33464,33464_ILSVRC2012_val_00016453.JPEG
33490,33490_ILSVRC2012_val_00045153.JPEG
34766,34766_ILSVRC2012_val_00005644.JPEG
36190,36190_ILSVRC2012_val_00045182.JPEG
36760,36760_ILSVRC2012_val_00049655.JPEG
38376,38376_ILSVRC2012_val_00001965.JPEG
39054,39054_ILSVRC2012_val_00046259.JPEG
39163,39163_ILSVRC2012_val_00037320.JPEG
41211,41211_ILSVRC2012_val_00039358.JPEG
42784,42784_ILSVRC2012_val_00011611.JPEG
44178,44178_ILSVRC2012_val_00033956.JPEG
46139,46139_ILSVRC2012_val_00043594.JPEG
