rank,image_path
1751,1751_ILSVRC2012_val_00013394.JPEG
2015,2015_ILSVRC2012_val_00026446.JPEG
2493,2493_ILSVRC2012_val_00012732.JPEG
4887,4887_ILSVRC2012_val_00026202.JPEG
7747,7747_ILSVRC2012_val_00023703.JPEG
7860,7860_ILSVRC2012_val_00041017.JPEG
11639,11639_ILSVRC2012_val_00036271.JPEG
17971,17971_ILSVRC2012_val_00022329.JPEG
19649,19649_ILSVRC2012_val_00005612.JPEG
22119,22119_ILSVRC2012_val_00027074.JPEG
22489,22489_ILSVRC2012_val_00036963.JPEG
22586,22586_ILSVRC2012_val_00049646.JPEG
22968,22968_ILSVRC2012_val_00048991.JPEG
25440,25440_ILSVRC2012_val_00034840.JPEG
25672,25672_ILSVRC2012_val_00027163.JPEG
26874,26874_ILSVRC2012_val_00013299.JPEG
26931,26931_ILSVRC2012_val_00049703.JPEG
27591,27591_ILSVRC2012_val_00044341.JPEG
29941,29941_ILSVRC2012_val_00000229.JPEG
30743,30743_ILSVRC2012_val_00030964.JPEG
30829,30829_ILSVRC2012_val_00004898.JPEG
30854,30854_ILSVRC2012_val_00004019.JPEG
33265,33265_ILSVRC2012_val_00049260.JPEG
33462,33462_ILSVRC2012_val_00039441.JPEG
35648,35648_ILSVRC2012_val_00019547.JPEG
36001,36001_ILSVRC2012_val_00031541.JPEG
37065,37065_ILSVRC2012_val_00009231.JPEG
38333,38333_ILSVRC2012_val_00010528.JPEG
38355,38355_ILSVRC2012_val_00032700.JPEG
38521,38521_ILSVRC2012_val_00001636.JPEG
39048,39048_ILSVRC2012_val_00029726.JPEG
39546,39546_ILSVRC2012_val_00022841.JPEG
40852,40852_ILSVRC2012_val_00016633.JPEG
40927,40927_ILSVRC2012_val_00025567.JPEG
41723,41723_ILSVRC2012_val_00038085.JPEG
42087,42087_ILSVRC2012_val_00036815.JPEG
42147,42147_ILSVRC2012_val_00046803.JPEG
42158,42158_ILSVRC2012_val_00027877.JPEG
42732,42732_ILSVRC2012_val_00024666.JPEG
43173,43173_ILSVRC2012_val_00022710.JPEG
43802,43802_ILSVRC2012_val_00039536.JPEG
45269,45269_ILSVRC2012_val_00016550.JPEG
46484,46484_ILSVRC2012_val_00015468.JPEG
46590,46590_ILSVRC2012_val_00038527.JPEG
47058,47058_ILSVRC2012_val_00046053.JPEG
47246,47246_ILSVRC2012_val_00036345.JPEG
47541,47541_ILSVRC2012_val_00004897.JPEG
48431,48431_ILSVRC2012_val_00030163.JPEG
48834,48834_ILSVRC2012_val_00019560.JPEG
49734,49734_ILSVRC2012_val_00023686.JPEG
