rank,image_path
2547,2547_ILSVRC2012_val_00002671.JPEG
6333,6333_ILSVRC2012_val_00031947.JPEG
6382,6382_ILSVRC2012_val_00037685.JPEG
9233,9233_ILSVRC2012_val_00049349.JPEG
13711,13711_ILSVRC2012_val_00008344.JPEG
13742,13742_ILSVRC2012_val_00023271.JPEG
13792,13792_ILSVRC2012_val_00006719.JPEG
14280,14280_ILSVRC2012_val_00038940.JPEG
15519,15519_ILSVRC2012_val_00036585.JPEG
15896,15896_ILSVRC2012_val_00034327.JPEG
16101,16101_ILSVRC2012_val_00021302.JPEG
17146,17146_ILSVRC2012_val_00010423.JPEG
18287,18287_ILSVRC2012_val_00023682.JPEG
20367,20367_ILSVRC2012_val_00027454.JPEG
21046,21046_ILSVRC2012_val_00002713.JPEG
22513,22513_ILSVRC2012_val_00042424.JPEG
22730,22730_ILSVRC2012_val_00028383.JPEG
23189,23189_ILSVRC2012_val_00000243.JPEG
23277,23277_ILSVRC2012_val_00027572.JPEG
23457,23457_ILSVRC2012_val_00005534.JPEG
24621,24621_ILSVRC2012_val_00007041.JPEG
25905,25905_ILSVRC2012_val_00044290.JPEG
26590,26590_ILSVRC2012_val_00048113.JPEG
28093,28093_ILSVRC2012_val_00001029.JPEG
29210,29210_ILSVRC2012_val_00019686.JPEG
29983,29983_ILSVRC2012_val_00022631.JPEG
30996,30996_ILSVRC2012_val_00015284.JPEG
31580,31580_ILSVRC2012_val_00020176.JPEG
32482,32482_ILSVRC2012_val_00007134.JPEG
33765,33765_ILSVRC2012_val_00033894.JPEG
33793,33793_ILSVRC2012_val_00043926.JPEG
36224,36224_ILSVRC2012_val_00000841.JPEG
36493,36493_ILSVRC2012_val_00031428.JPEG
37571,37571_ILSVRC2012_val_00046715.JPEG
38353,38353_ILSVRC2012_val_00034210.JPEG
38556,38556_ILSVRC2012_val_00017606.JPEG
40311,40311_ILSVRC2012_val_00036811.JPEG
40615,40615_ILSVRC2012_val_00033296.JPEG
40890,40890_ILSVRC2012_val_00013194.JPEG
41261,41261_ILSVRC2012_val_00001954.JPEG
41853,41853_ILSVRC2012_val_00024623.JPEG
42361,42361_ILSVRC2012_val_00034119.JPEG
44098,44098_ILSVRC2012_val_00004297.JPEG
44672,44672_ILSVRC2012_val_00005600.JPEG
44965,44965_ILSVRC2012_val_00018259.JPEG
45427,45427_ILSVRC2012_val_00007014.JPEG
45508,45508_ILSVRC2012_val_00010868.JPEG
46561,46561_ILSVRC2012_val_00011068.JPEG
47048,47048_ILSVRC2012_val_00002650.JPEG
47263,47263_ILSVRC2012_val_00008543.JPEG
