rank,image_path
428,428_ILSVRC2012_val_00018636.JPEG
1511,1511_ILSVRC2012_val_00029033.JPEG
1926,1926_ILSVRC2012_val_00049191.JPEG
2297,2297_ILSVRC2012_val_00022218.JPEG
2378,2378_ILSVRC2012_val_00031105.JPEG
2454,2454_ILSVRC2012_val_00035048.JPEG
3012,3012_ILSVRC2012_val_00038464.JPEG
3383,3383_ILSVRC2012_val_00020476.JPEG
3501,3501_ILSVRC2012_val_00047978.JPEG
4126,4126_ILSVRC2012_val_00017022.JPEG
5206,5206_ILSVRC2012_val_00026308.JPEG
6466,6466_ILSVRC2012_val_00022395.JPEG
6863,6863_ILSVRC2012_val_00037821.JPEG
8024,8024_ILSVRC2012_val_00028924.JPEG
8139,8139_ILSVRC2012_val_00045061.JPEG
8916,8916_ILSVRC2012_val_00026383.JPEG
9154,9154_ILSVRC2012_val_00025747.JPEG
9269,9269_ILSVRC2012_val_00027709.JPEG
9610,9610_ILSVRC2012_val_00012846.JPEG
10049,10049_ILSVRC2012_val_00027167.JPEG
11715,11715_ILSVRC2012_val_00045296.JPEG
11932,11932_ILSVRC2012_val_00003467.JPEG
12021,12021_ILSVRC2012_val_00031388.JPEG
12079,12079_ILSVRC2012_val_00016226.JPEG
12391,12391_ILSVRC2012_val_00007860.JPEG
13002,13002_ILSVRC2012_val_00002428.JPEG
13223,13223_ILSVRC2012_val_00005429.JPEG
13581,13581_ILSVRC2012_val_00033050.JPEG
14378,14378_ILSVRC2012_val_00036635.JPEG
16030,16030_ILSVRC2012_val_00004923.JPEG
16032,16032_ILSVRC2012_val_00036381.JPEG
16464,16464_ILSVRC2012_val_00049914.JPEG
17260,17260_ILSVRC2012_val_00010172.JPEG
17677,17677_ILSVRC2012_val_00043302.JPEG
18099,18099_ILSVRC2012_val_00048408.JPEG
18871,18871_ILSVRC2012_val_00044671.JPEG
19904,19904_ILSVRC2012_val_00036601.JPEG
21255,21255_ILSVRC2012_val_00043937.JPEG
21425,21425_ILSVRC2012_val_00020370.JPEG
25084,25084_ILSVRC2012_val_00001882.JPEG
26039,26039_ILSVRC2012_val_00029702.JPEG
26391,26391_ILSVRC2012_val_00026452.JPEG
30067,30067_ILSVRC2012_val_00000836.JPEG
32325,32325_ILSVRC2012_val_00045183.JPEG
34975,34975_ILSVRC2012_val_00038062.JPEG
40318,40318_ILSVRC2012_val_00017054.JPEG
40904,40904_ILSVRC2012_val_00017983.JPEG
41543,41543_ILSVRC2012_val_00015650.JPEG
47992,47992_ILSVRC2012_val_00012415.JPEG
48243,48243_ILSVRC2012_val_00019842.JPEG
