rank,image_path
321,321_ILSVRC2012_val_00003619.JPEG
1226,1226_ILSVRC2012_val_00040188.JPEG
1570,1570_ILSVRC2012_val_00006756.JPEG
3135,3135_ILSVRC2012_val_00010681.JPEG
3467,3467_ILSVRC2012_val_00043565.JPEG
4110,4110_ILSVRC2012_val_00005888.JPEG
4275,4275_ILSVRC2012_val_00027083.JPEG
5537,5537_ILSVRC2012_val_00023626.JPEG
6181,6181_ILSVRC2012_val_00006302.JPEG
6266,6266_ILSVRC2012_val_00014311.JPEG
6762,6762_ILSVRC2012_val_00046347.JPEG
8920,8920_ILSVRC2012_val_00049490.JPEG
9796,9796_ILSVRC2012_val_00037247.JPEG
14390,14390_ILSVRC2012_val_00023063.JPEG
15156,15156_ILSVRC2012_val_00027520.JPEG
15665,15665_ILSVRC2012_val_00048190.JPEG
16107,16107_ILSVRC2012_val_00014856.JPEG
16121,16121_ILSVRC2012_val_00018013.JPEG
17789,17789_ILSVRC2012_val_00045114.JPEG
17898,17898_ILSVRC2012_val_00014840.JPEG
17949,17949_ILSVRC2012_val_00030614.JPEG
18898,18898_ILSVRC2012_val_00001406.JPEG
20725,20725_ILSVRC2012_val_00036854.JPEG
21640,21640_ILSVRC2012_val_00013643.JPEG
21644,21644_ILSVRC2012_val_00032960.JPEG
24200,24200_ILSVRC2012_val_00023088.JPEG
27025,27025_ILSVRC2012_val_00017096.JPEG
28293,28293_ILSVRC2012_val_00045093.JPEG
28318,28318_ILSVRC2012_val_00002915.JPEG
28363,28363_ILSVRC2012_val_00026831.JPEG
32685,32685_ILSVRC2012_val_00001778.JPEG
33394,33394_ILSVRC2012_val_00028980.JPEG
35340,35340_ILSVRC2012_val_00012107.JPEG
36770,36770_ILSVRC2012_val_00027744.JPEG
37255,37255_ILSVRC2012_val_00017016.JPEG
37361,37361_ILSVRC2012_val_00042291.JPEG
37483,37483_ILSVRC2012_val_00040122.JPEG
38659,38659_ILSVRC2012_val_00006199.JPEG
39853,39853_ILSVRC2012_val_00022623.JPEG
41563,41563_ILSVRC2012_val_00024692.JPEG
41617,41617_ILSVRC2012_val_00021144.JPEG
42992,42992_ILSVRC2012_val_00021193.JPEG
43852,43852_ILSVRC2012_val_00013588.JPEG
44007,44007_ILSVRC2012_val_00012699.JPEG
44009,44009_ILSVRC2012_val_00033807.JPEG
45549,45549_ILSVRC2012_val_00039277.JPEG
45604,45604_ILSVRC2012_val_00021528.JPEG
47115,47115_ILSVRC2012_val_00034677.JPEG
47639,47639_ILSVRC2012_val_00029447.JPEG
47657,47657_ILSVRC2012_val_00021465.JPEG
