rank,image_path
575,575_ILSVRC2012_val_00003082.JPEG
1097,1097_ILSVRC2012_val_00018163.JPEG
1850,1850_ILSVRC2012_val_00003826.JPEG
1899,1899_ILSVRC2012_val_00047068.JPEG
2059,2059_ILSVRC2012_val_00010534.JPEG
2979,2979_ILSVRC2012_val_00007206.JPEG
3457,3457_ILSVRC2012_val_00043721.JPEG
3605,3605_ILSVRC2012_val_00003612.JPEG
3907,3907_ILSVRC2012_val_00012467.JPEG
4158,4158_ILSVRC2012_val_00006479.JPEG
4642,4642_ILSVRC2012_val_00025545.JPEG
4651,4651_ILSVRC2012_val_00031272.JPEG
4861,4861_ILSVRC2012_val_00010816.JPEG
5346,5346_ILSVRC2012_val_00025178.JPEG
5658,5658_ILSVRC2012_val_00001622.JPEG
6456,6456_ILSVRC2012_val_00033230.JPEG
6499,6499_ILSVRC2012_val_00027249.JPEG
7517,7517_ILSVRC2012_val_00008322.JPEG
7877,7877_ILSVRC2012_val_00004425.JPEG
8348,8348_ILSVRC2012_val_00009172.JPEG
9009,9009_ILSVRC2012_val_00034845.JPEG
9763,9763_ILSVRC2012_val_00000814.JPEG
10611,10611_ILSVRC2012_val_00026613.JPEG
10950,10950_ILSVRC2012_val_00031719.JPEG
11959,11959_ILSVRC2012_val_00015793.JPEG
12446,12446_ILSVRC2012_val_00000166.JPEG
13110,13110_ILSVRC2012_val_00020881.JPEG
13383,13383_ILSVRC2012_val_00027979.JPEG
13882,13882_ILSVRC2012_val_00045516.JPEG
15929,15929_ILSVRC2012_val_00020122.JPEG
18464,18464_ILSVRC2012_val_00024984.JPEG
18913,18913_ILSVRC2012_val_00025531.JPEG
24383,24383_ILSVRC2012_val_00035575.JPEG
26004,26004_ILSVRC2012_val_00013230.JPEG
27006,27006_ILSVRC2012_val_00017662.JPEG
27137,27137_ILSVRC2012_val_00044437.JPEG
27296,27296_ILSVRC2012_val_00036538.JPEG
29475,29475_ILSVRC2012_val_00048283.JPEG
30819,30819_ILSVRC2012_val_00036177.JPEG
31225,31225_ILSVRC2012_val_00005635.JPEG
32298,32298_ILSVRC2012_val_00029865.JPEG
32619,32619_ILSVRC2012_val_00037148.JPEG
33977,33977_ILSVRC2012_val_00036724.JPEG
36934,36934_ILSVRC2012_val_00019829.JPEG
42177,42177_ILSVRC2012_val_00024907.JPEG
42211,42211_ILSVRC2012_val_00005556.JPEG
42995,42995_ILSVRC2012_val_00013782.JPEG
45137,45137_ILSVRC2012_val_00031331.JPEG
46222,46222_ILSVRC2012_val_00045994.JPEG
46600,46600_ILSVRC2012_val_00036673.JPEG
