rank,image_path
1426,1426_ILSVRC2012_val_00012206.JPEG
1639,1639_ILSVRC2012_val_00025341.JPEG
5003,5003_ILSVRC2012_val_00011896.JPEG
5384,5384_ILSVRC2012_val_00003161.JPEG
7721,7721_ILSVRC2012_val_00023451.JPEG
8760,8760_ILSVRC2012_val_00022836.JPEG
8823,8823_ILSVRC2012_val_00002623.JPEG
9736,9736_ILSVRC2012_val_00002464.JPEG
11398,11398_ILSVRC2012_val_00032003.JPEG
14923,14923_ILSVRC2012_val_00026732.JPEG
17166,17166_ILSVRC2012_val_00023007.JPEG
17985,17985_ILSVRC2012_val_00048912.JPEG
18234,18234_ILSVRC2012_val_00018953.JPEG
18924,18924_ILSVRC2012_val_00046812.JPEG
19054,19054_ILSVRC2012_val_00019136.JPEG
19082,19082_ILSVRC2012_val_00024131.JPEG
19112,19112_ILSVRC2012_val_00001907.JPEG
19739,19739_ILSVRC2012_val_00033719.JPEG
20723,20723_ILSVRC2012_val_00043112.JPEG
21129,21129_ILSVRC2012_val_00009767.JPEG
21301,21301_ILSVRC2012_val_00005185.JPEG
23057,23057_ILSVRC2012_val_00032711.JPEG
23884,23884_ILSVRC2012_val_00022557.JPEG
25208,25208_ILSVRC2012_val_00007325.JPEG
26326,26326_ILSVRC2012_val_00001581.JPEG
26532,26532_ILSVRC2012_val_00016505.JPEG
27032,27032_ILSVRC2012_val_00021500.JPEG
27312,27312_ILSVRC2012_val_00030932.JPEG
27651,27651_ILSVRC2012_val_00010511.JPEG
28444,28444_ILSVRC2012_val_00030274.JPEG
29074,29074_ILSVRC2012_val_00007836.JPEG
30587,30587_ILSVRC2012_val_00043902.JPEG
30762,30762_ILSVRC2012_val_00048117.JPEG
31216,31216_ILSVRC2012_val_00006450.JPEG
31316,31316_ILSVRC2012_val_00041004.JPEG
32412,32412_ILSVRC2012_val_00026057.JPEG
33882,33882_ILSVRC2012_val_00014640.JPEG
33932,33932_ILSVRC2012_val_00006718.JPEG
34915,34915_ILSVRC2012_val_00045432.JPEG
35032,35032_ILSVRC2012_val_00011705.JPEG
35853,35853_ILSVRC2012_val_00001773.JPEG
38213,38213_ILSVRC2012_val_00024045.JPEG
39256,39256_ILSVRC2012_val_00013895.JPEG
39418,39418_ILSVRC2012_val_00019385.JPEG
39651,39651_ILSVRC2012_val_00044500.JPEG
39760,39760_ILSVRC2012_val_00019893.JPEG
40016,40016_ILSVRC2012_val_00006162.JPEG
40688,40688_ILSVRC2012_val_00039238.JPEG
45780,45780_ILSVRC2012_val_00035457.JPEG
48563,48563_ILSVRC2012_val_00018170.JPEG
