rank,image_path
7375,7375_ILSVRC2012_val_00013520.JPEG
12085,12085_ILSVRC2012_val_00020320.JPEG
12090,12090_ILSVRC2012_val_00036829.JPEG
14814,14814_ILSVRC2012_val_00039176.JPEG
15434,15434_ILSVRC2012_val_00017101.JPEG
17237,17237_ILSVRC2012_val_00029895.JPEG
17384,17384_ILSVRC2012_val_00025563.JPEG
18311,18311_ILSVRC2012_val_00029486.JPEG
23177,23177_ILSVRC2012_val_00005568.JPEG
23521,23521_ILSVRC2012_val_00019994.JPEG
23715,23715_ILSVRC2012_val_00024287.JPEG
23951,23951_ILSVRC2012_val_00049205.JPEG
24476,24476_ILSVRC2012_val_00015726.JPEG
24660,24660_ILSVRC2012_val_00041244.JPEG
25965,25965_ILSVRC2012_val_00017745.JPEG
27050,27050_ILSVRC2012_val_00047780.JPEG
27527,27527_ILSVRC2012_val_00036033.JPEG
30733,30733_ILSVRC2012_val_00007694.JPEG
31672,31672_ILSVRC2012_val_00012336.JPEG
32262,32262_ILSVRC2012_val_00033211.JPEG
32864,32864_ILSVRC2012_val_00005421.JPEG
33510,33510_ILSVRC2012_val_00011676.JPEG
34440,34440_ILSVRC2012_val_00014643.JPEG
35194,35194_ILSVRC2012_val_00042088.JPEG
35330,35330_ILSVRC2012_val_00026664.JPEG
36025,36025_ILSVRC2012_val_00025765.JPEG
37743,37743_ILSVRC2012_val_00027050.JPEG
37864,37864_ILSVRC2012_val_00002895.JPEG
39069,39069_ILSVRC2012_val_00005396.JPEG
40542,40542_ILSVRC2012_val_00014804.JPEG
41874,41874_ILSVRC2012_val_00007585.JPEG
42201,42201_ILSVRC2012_val_00019871.JPEG
42245,42245_ILSVRC2012_val_00013259.JPEG
42407,42407_ILSVRC2012_val_00026092.JPEG
43057,43057_ILSVRC2012_val_00048987.JPEG
43795,43795_ILSVRC2012_val_00018887.JPEG
43823,43823_ILSVRC2012_val_00006497.JPEG
44634,44634_ILSVRC2012_val_00035346.JPEG
45494,45494_ILSVRC2012_val_00033355.JPEG
45760,45760_ILSVRC2012_val_00011326.JPEG
46322,46322_ILSVRC2012_val_00033287.JPEG
46498,46498_ILSVRC2012_val_00032498.JPEG
46924,46924_ILSVRC2012_val_00036571.JPEG
47370,47370_ILSVRC2012_val_00042308.JPEG
48192,48192_ILSVRC2012_val_00042990.JPEG
48375,48375_ILSVRC2012_val_00000549.JPEG
48591,48591_ILSVRC2012_val_00015601.JPEG
49101,49101_ILSVRC2012_val_00021700.JPEG
49567,49567_ILSVRC2012_val_00043264.JPEG
49912,49912_ILSVRC2012_val_00036136.JPEG
