rank,image_path
94,94_ILSVRC2012_val_00037207.JPEG
1110,1110_ILSVRC2012_val_00011196.JPEG
1636,1636_ILSVRC2012_val_00028025.JPEG
1967,1967_ILSVRC2012_val_00013515.JPEG
1991,1991_ILSVRC2012_val_00012844.JPEG
2046,2046_ILSVRC2012_val_00029089.JPEG
2061,2061_ILSVRC2012_val_00020025.JPEG
2213,2213_ILSVRC2012_val_00026476.JPEG
2365,2365_ILSVRC2012_val_00029817.JPEG
3277,3277_ILSVRC2012_val_00031760.JPEG
3305,3305_ILSVRC2012_val_00005178.JPEG
3777,3777_ILSVRC2012_val_00049521.JPEG
4409,4409_ILSVRC2012_val_00035489.JPEG
4776,4776_ILSVRC2012_val_00028721.JPEG
4828,4828_ILSVRC2012_val_00041535.JPEG
4870,4870_ILSVRC2012_val_00002779.JPEG
4909,4909_ILSVRC2012_val_00025491.JPEG
5412,5412_ILSVRC2012_val_00044240.JPEG
7012,7012_ILSVRC2012_val_00023947.JPEG
7016,7016_ILSVRC2012_val_00010080.JPEG
8109,8109_ILSVRC2012_val_00046462.JPEG
8484,8484_ILSVRC2012_val_00028776.JPEG
9511,9511_ILSVRC2012_val_00003716.JPEG
10820,10820_ILSVRC2012_val_00033510.JPEG
10899,10899_ILSVRC2012_val_00045774.JPEG
11195,11195_ILSVRC2012_val_00032627.JPEG
11207,11207_ILSVRC2012_val_00008737.JPEG
11394,11394_ILSVRC2012_val_00049227.JPEG
11582,11582_ILSVRC2012_val_00014991.JPEG
11884,11884_ILSVRC2012_val_00049746.JPEG
12351,12351_ILSVRC2012_val_00023492.JPEG
13525,13525_ILSVRC2012_val_00039042.JPEG
14239,14239_ILSVRC2012_val_00029910.JPEG
15097,15097_ILSVRC2012_val_00025410.JPEG
15189,15189_ILSVRC2012_val_00009923.JPEG
15301,15301_ILSVRC2012_val_00017621.JPEG
15491,15491_ILSVRC2012_val_00011052.JPEG
17312,17312_ILSVRC2012_val_00010845.JPEG
20382,20382_ILSVRC2012_val_00029875.JPEG
22359,22359_ILSVRC2012_val_00000548.JPEG
24619,24619_ILSVRC2012_val_00014450.JPEG
25978,25978_ILSVRC2012_val_00009047.JPEG
26638,26638_ILSVRC2012_val_00031863.JPEG
31648,31648_ILSVRC2012_val_00009991.JPEG
32484,32484_ILSVRC2012_val_00045300.JPEG
36308,36308_ILSVRC2012_val_00002738.JPEG
36472,36472_ILSVRC2012_val_00034827.JPEG
37421,37421_ILSVRC2012_val_00004583.JPEG
37710,37710_ILSVRC2012_val_00005266.JPEG
45421,45421_ILSVRC2012_val_00037288.JPEG
