rank,image_path
783,783_ILSVRC2012_val_00035935.JPEG
866,866_ILSVRC2012_val_00019770.JPEG
3082,3082_ILSVRC2012_val_00043575.JPEG
3325,3325_ILSVRC2012_val_00036012.JPEG
3925,3925_ILSVRC2012_val_00012161.JPEG
4728,4728_ILSVRC2012_val_00011751.JPEG
5223,5223_ILSVRC2012_val_00036440.JPEG
5229,5229_ILSVRC2012_val_00040951.JPEG
5901,5901_ILSVRC2012_val_00030141.JPEG
6932,6932_ILSVRC2012_val_00006710.JPEG
7599,7599_ILSVRC2012_val_00024887.JPEG
7890,7890_ILSVRC2012_val_00019603.JPEG
9703,9703_ILSVRC2012_val_00049414.JPEG
10026,10026_ILSVRC2012_val_00040587.JPEG
10044,10044_ILSVRC2012_val_00001697.JPEG
10172,10172_ILSVRC2012_val_00007253.JPEG
10534,10534_ILSVRC2012_val_00040178.JPEG
10613,10613_ILSVRC2012_val_00027518.JPEG
10710,10710_ILSVRC2012_val_00028429.JPEG
11099,11099_ILSVRC2012_val_00047202.JPEG
11151,11151_ILSVRC2012_val_00014099.JPEG
11415,11415_ILSVRC2012_val_00042075.JPEG
12397,12397_ILSVRC2012_val_00018573.JPEG
12836,12836_ILSVRC2012_val_00005616.JPEG
13055,13055_ILSVRC2012_val_00023729.JPEG
13915,13915_ILSVRC2012_val_00025601.JPEG
13959,13959_ILSVRC2012_val_00044423.JPEG
14168,14168_ILSVRC2012_val_00007487.JPEG
15054,15054_ILSVRC2012_val_00029131.JPEG
15098,15098_ILSVRC2012_val_00026522.JPEG
15326,15326_ILSVRC2012_val_00017891.JPEG
15645,15645_ILSVRC2012_val_00033773.JPEG
17083,17083_ILSVRC2012_val_00008910.JPEG
17482,17482_ILSVRC2012_val_00048254.JPEG
19915,19915_ILSVRC2012_val_00015144.JPEG
20380,20380_ILSVRC2012_val_00033263.JPEG
20752,20752_ILSVRC2012_val_00001782.JPEG
23174,23174_ILSVRC2012_val_00001389.JPEG
25002,25002_ILSVRC2012_val_00017980.JPEG
25418,25418_ILSVRC2012_val_00026689.JPEG
25551,25551_ILSVRC2012_val_00004073.JPEG
27059,27059_ILSVRC2012_val_00020473.JPEG
27172,27172_ILSVRC2012_val_00039062.JPEG
27327,27327_ILSVRC2012_val_00009688.JPEG
29358,29358_ILSVRC2012_val_00024758.JPEG
30548,30548_ILSVRC2012_val_00021961.JPEG
31976,31976_ILSVRC2012_val_00032120.JPEG
39319,39319_ILSVRC2012_val_00040564.JPEG
49369,49369_ILSVRC2012_val_00033944.JPEG
49601,49601_ILSVRC2012_val_00022099.JPEG
