rank,image_path
1200,1200_ILSVRC2012_val_00014381.JPEG
2242,2242_ILSVRC2012_val_00009873.JPEG
2812,2812_ILSVRC2012_val_00044850.JPEG
2881,2881_ILSVRC2012_val_00041706.JPEG
2922,2922_ILSVRC2012_val_00001440.JPEG
3061,3061_ILSVRC2012_val_00009370.JPEG
3449,3449_ILSVRC2012_val_00002665.JPEG
3539,3539_ILSVRC2012_val_00015787.JPEG
3932,3932_ILSVRC2012_val_00042262.JPEG
5024,5024_ILSVRC2012_val_00037770.JPEG
6322,6322_ILSVRC2012_val_00020698.JPEG
6995,6995_ILSVRC2012_val_00018509.JPEG
7199,7199_ILSVRC2012_val_00034544.JPEG
7380,7380_ILSVRC2012_val_00010427.JPEG
7773,7773_ILSVRC2012_val_00032482.JPEG
8530,8530_ILSVRC2012_val_00030583.JPEG
8709,8709_ILSVRC2012_val_00041925.JPEG
9554,9554_ILSVRC2012_val_00020003.JPEG
9639,9639_ILSVRC2012_val_00022496.JPEG
9968,9968_ILSVRC2012_val_00026575.JPEG
10500,10500_ILSVRC2012_val_00006561.JPEG
11023,11023_ILSVRC2012_val_00015689.JPEG
11233,11233_ILSVRC2012_val_00025121.JPEG
11771,11771_ILSVRC2012_val_00011324.JPEG
12303,12303_ILSVRC2012_val_00047147.JPEG
13023,13023_ILSVRC2012_val_00024340.JPEG
13874,13874_ILSVRC2012_val_00031035.JPEG
14016,14016_ILSVRC2012_val_00023107.JPEG
14285,14285_ILSVRC2012_val_00009559.JPEG
14433,14433_ILSVRC2012_val_00010336.JPEG
15217,15217_ILSVRC2012_val_00039045.JPEG
16906,16906_ILSVRC2012_val_00047778.JPEG
17300,17300_ILSVRC2012_val_00007616.JPEG
17592,17592_ILSVRC2012_val_00017919.JPEG
17925,17925_ILSVRC2012_val_00022638.JPEG
18159,18159_ILSVRC2012_val_00002508.JPEG
18653,18653_ILSVRC2012_val_00018229.JPEG
19089,19089_ILSVRC2012_val_00016387.JPEG
21195,21195_ILSVRC2012_val_00047705.JPEG
22986,22986_ILSVRC2012_val_00038942.JPEG
23422,23422_ILSVRC2012_val_00017020.JPEG
23593,23593_ILSVRC2012_val_00004745.JPEG
23694,23694_ILSVRC2012_val_00029149.JPEG
27636,27636_ILSVRC2012_val_00019289.JPEG
28420,28420_ILSVRC2012_val_00031268.JPEG
30166,30166_ILSVRC2012_val_00013527.JPEG
30208,30208_ILSVRC2012_val_00009269.JPEG
39733,39733_ILSVRC2012_val_00002990.JPEG
41096,41096_ILSVRC2012_val_00010460.JPEG
44626,44626_ILSVRC2012_val_00009593.JPEG
