rank,image_path
686,686_ILSVRC2012_val_00040524.JPEG
3389,3389_ILSVRC2012_val_00033708.JPEG
5117,5117_ILSVRC2012_val_00023637.JPEG
6753,6753_ILSVRC2012_val_00026168.JPEG
8634,8634_ILSVRC2012_val_00003676.JPEG
9355,9355_ILSVRC2012_val_00044891.JPEG
10676,10676_ILSVRC2012_val_00011399.JPEG
12454,12454_ILSVRC2012_val_00043041.JPEG
15342,15342_ILSVRC2012_val_00019750.JPEG
15872,15872_ILSVRC2012_val_00028573.JPEG
18006,18006_ILSVRC2012_val_00025495.JPEG
18784,18784_ILSVRC2012_val_00019787.JPEG
18958,18958_ILSVRC2012_val_00045503.JPEG
19115,19115_ILSVRC2012_val_00004012.JPEG
19159,19159_ILSVRC2012_val_00009226.JPEG
19925,19925_ILSVRC2012_val_00001563.JPEG
20753,20753_ILSVRC2012_val_00032409.JPEG
22657,22657_ILSVRC2012_val_00013111.JPEG
22706,22706_ILSVRC2012_val_00010090.JPEG
23447,23447_ILSVRC2012_val_00021474.JPEG
24204,24204_ILSVRC2012_val_00006075.JPEG
24765,24765_ILSVRC2012_val_00036675.JPEG
25545,25545_ILSVRC2012_val_00047397.JPEG
26074,26074_ILSVRC2012_val_00029297.JPEG
26113,26113_ILSVRC2012_val_00040859.JPEG
28201,28201_ILSVRC2012_val_00022866.JPEG
28573,28573_ILSVRC2012_val_00000576.JPEG
28670,28670_ILSVRC2012_val_00048722.JPEG
31181,31181_ILSVRC2012_val_00001480.JPEG
31404,31404_ILSVRC2012_val_00042021.JPEG
32108,32108_ILSVRC2012_val_00041577.JPEG
32206,32206_ILSVRC2012_val_00037024.JPEG
32338,32338_ILSVRC2012_val_00042564.JPEG
32679,32679_ILSVRC2012_val_00039266.JPEG
33498,33498_ILSVRC2012_val_00035476.JPEG
36326,36326_ILSVRC2012_val_00048846.JPEG
36502,36502_ILSVRC2012_val_00034536.JPEG
37457,37457_ILSVRC2012_val_00038023.JPEG
38168,38168_ILSVRC2012_val_00023021.JPEG
38456,38456_ILSVRC2012_val_00031806.JPEG
39984,39984_ILSVRC2012_val_00030837.JPEG
40537,40537_ILSVRC2012_val_00036552.JPEG
43312,43312_ILSVRC2012_val_00039412.JPEG
44562,44562_ILSVRC2012_val_00049353.JPEG
45594,45594_ILSVRC2012_val_00021090.JPEG
45811,45811_ILSVRC2012_val_00041361.JPEG
46256,46256_ILSVRC2012_val_00034512.JPEG
48918,48918_ILSVRC2012_val_00048601.JPEG
49173,49173_ILSVRC2012_val_00046609.JPEG
49189,49189_ILSVRC2012_val_00011851.JPEG
