rank,image_path
616,616_ILSVRC2012_val_00036112.JPEG
1631,1631_ILSVRC2012_val_00002643.JPEG
2848,2848_ILSVRC2012_val_00035336.JPEG
2992,2992_ILSVRC2012_val_00041733.JPEG
3588,3588_ILSVRC2012_val_00027309.JPEG
3633,3633_ILSVRC2012_val_00028308.JPEG
5018,5018_ILSVRC2012_val_00039096.JPEG
6492,6492_ILSVRC2012_val_00001149.JPEG
7063,7063_ILSVRC2012_val_00019620.JPEG
7830,7830_ILSVRC2012_val_00009942.JPEG
7951,7951_ILSVRC2012_val_00040829.JPEG
8395,8395_ILSVRC2012_val_00015422.JPEG
9994,9994_ILSVRC2012_val_00022006.JPEG
11281,11281_ILSVRC2012_val_00002894.JPEG
11789,11789_ILSVRC2012_val_00019207.JPEG
12962,12962_ILSVRC2012_val_00030496.JPEG
13618,13618_ILSVRC2012_val_00036886.JPEG
17168,17168_ILSVRC2012_val_00035354.JPEG
18302,18302_ILSVRC2012_val_00003976.JPEG
18706,18706_ILSVRC2012_val_00012392.JPEG
19877,19877_ILSVRC2012_val_00021347.JPEG
20191,20191_ILSVRC2012_val_00016667.JPEG
21000,21000_ILSVRC2012_val_00037873.JPEG
21964,21964_ILSVRC2012_val_00002493.JPEG
22293,22293_ILSVRC2012_val_00012227.JPEG
22779,22779_ILSVRC2012_val_00046385.JPEG
25226,25226_ILSVRC2012_val_00031113.JPEG
25767,25767_ILSVRC2012_val_00023791.JPEG
29066,29066_ILSVRC2012_val_00029291.JPEG
30850,30850_ILSVRC2012_val_00049357.JPEG
30891,30891_ILSVRC2012_val_00046469.JPEG
32109,32109_ILSVRC2012_val_00000335.JPEG
32424,32424_ILSVRC2012_val_00021606.JPEG
33167,33167_ILSVRC2012_val_00044177.JPEG
33561,33561_ILSVRC2012_val_00031979.JPEG
33633,33633_ILSVRC2012_val_00011575.JPEG
33929,33929_ILSVRC2012_val_00027286.JPEG
34062,34062_ILSVRC2012_val_00026091.JPEG
34772,34772_ILSVRC2012_val_00019465.JPEG
35154,35154_ILSVRC2012_val_00013152.JPEG
35455,35455_ILSVRC2012_val_00043548.JPEG
35782,35782_ILSVRC2012_val_00026543.JPEG
35944,35944_ILSVRC2012_val_00033992.JPEG
36078,36078_ILSVRC2012_val_00023419.JPEG
38418,38418_ILSVRC2012_val_00021715.JPEG
42791,42791_ILSVRC2012_val_00025783.JPEG
44427,44427_ILSVRC2012_val_00010969.JPEG
44537,44537_ILSVRC2012_val_00011239.JPEG
45082,45082_ILSVRC2012_val_00040702.JPEG
47346,47346_ILSVRC2012_val_00020883.JPEG
