rank,image_path
848,848_ILSVRC2012_val_00028087.JPEG
2918,2918_ILSVRC2012_val_00021999.JPEG
5509,5509_ILSVRC2012_val_00010953.JPEG
6459,6459_ILSVRC2012_val_00004595.JPEG
14596,14596_ILSVRC2012_val_00043557.JPEG
16442,16442_ILSVRC2012_val_00011975.JPEG
16551,16551_ILSVRC2012_val_00027628.JPEG
18341,18341_ILSVRC2012_val_00048844.JPEG
19232,19232_ILSVRC2012_val_00004925.JPEG
19248,19248_ILSVRC2012_val_00044723.JPEG
19608,19608_ILSVRC2012_val_00021571.JPEG
21376,21376_ILSVRC2012_val_00033813.JPEG
23309,23309_ILSVRC2012_val_00013811.JPEG
24020,24020_ILSVRC2012_val_00014397.JPEG
24321,24321_ILSVRC2012_val_00011786.JPEG
25446,25446_ILSVRC2012_val_00005201.JPEG
26775,26775_ILSVRC2012_val_00049155.JPEG
29389,29389_ILSVRC2012_val_00009211.JPEG
30301,30301_ILSVRC2012_val_00009123.JPEG
30785,30785_ILSVRC2012_val_00007621.JPEG
31531,31531_ILSVRC2012_val_00032706.JPEG
31988,31988_ILSVRC2012_val_00039658.JPEG
32887,32887_ILSVRC2012_val_00045458.JPEG
33105,33105_ILSVRC2012_val_00015543.JPEG
33860,33860_ILSVRC2012_val_00024631.JPEG
35677,35677_ILSVRC2012_val_00036656.JPEG
37216,37216_ILSVRC2012_val_00002193.JPEG
37574,37574_ILSVRC2012_val_00048651.JPEG
37861,37861_ILSVRC2012_val_00029008.JPEG
38541,38541_ILSVRC2012_val_00041811.JPEG
38681,38681_ILSVRC2012_val_00026940.JPEG
39033,39033_ILSVRC2012_val_00049348.JPEG
39353,39353_ILSVRC2012_val_00024519.JPEG
40342,40342_ILSVRC2012_val_00016660.JPEG
40617,40617_ILSVRC2012_val_00044198.JPEG
40740,40740_ILSVRC2012_val_00045365.JPEG
41474,41474_ILSVRC2012_val_00034875.JPEG
42746,42746_ILSVRC2012_val_00045641.JPEG
43530,43530_ILSVRC2012_val_00030317.JPEG
44432,44432_ILSVRC2012_val_00047667.JPEG
44599,44599_ILSVRC2012_val_00035124.JPEG
45532,45532_ILSVRC2012_val_00010985.JPEG
45925,45925_ILSVRC2012_val_00020223.JPEG
46482,46482_ILSVRC2012_val_00046282.JPEG
46880,46880_ILSVRC2012_val_00005095.JPEG
47084,47084_ILSVRC2012_val_00034941.JPEG
47104,47104_ILSVRC2012_val_00021853.JPEG
47391,47391_ILSVRC2012_val_00024632.JPEG
48770,48770_ILSVRC2012_val_00005983.JPEG
49903,49903_ILSVRC2012_val_00039855.JPEG
