rank,image_path
652,652_ILSVRC2012_val_00044163.JPEG
1429,1429_ILSVRC2012_val_00044576.JPEG
1678,1678_ILSVRC2012_val_00031353.JPEG
2768,2768_ILSVRC2012_val_00043525.JPEG
3820,3820_ILSVRC2012_val_00047747.JPEG
3934,3934_ILSVRC2012_val_00047876.JPEG
4202,4202_ILSVRC2012_val_00017435.JPEG
5179,5179_ILSVRC2012_val_00044366.JPEG
5209,5209_ILSVRC2012_val_00038560.JPEG
5413,5413_ILSVRC2012_val_00027967.JPEG
6194,6194_ILSVRC2012_val_00022349.JPEG
6623,6623_ILSVRC2012_val_00037742.JPEG
7253,7253_ILSVRC2012_val_00003366.JPEG
7636,7636_ILSVRC2012_val_00013073.JPEG
7765,7765_ILSVRC2012_val_00003065.JPEG
7801,7801_ILSVRC2012_val_00049449.JPEG
8120,8120_ILSVRC2012_val_00005015.JPEG
8727,8727_ILSVRC2012_val_00044214.JPEG
9079,9079_ILSVRC2012_val_00030853.JPEG
9828,9828_ILSVRC2012_val_00038997.JPEG
9866,9866_ILSVRC2012_val_00047607.JPEG
10816,10816_ILSVRC2012_val_00006117.JPEG
10869,10869_ILSVRC2012_val_00048387.JPEG
11075,11075_ILSVRC2012_val_00036130.JPEG
12323,12323_ILSVRC2012_val_00039483.JPEG
13330,13330_ILSVRC2012_val_00008983.JPEG
13641,13641_ILSVRC2012_val_00009835.JPEG
15309,15309_ILSVRC2012_val_00016983.JPEG
16017,16017_ILSVRC2012_val_00017906.JPEG
16037,16037_ILSVRC2012_val_00005589.JPEG
16529,16529_ILSVRC2012_val_00010646.JPEG
16547,16547_ILSVRC2012_val_00036487.JPEG
16557,16557_ILSVRC2012_val_00013830.JPEG
17105,17105_ILSVRC2012_val_00000489.JPEG
17250,17250_ILSVRC2012_val_00022627.JPEG
17426,17426_ILSVRC2012_val_00024977.JPEG
18141,18141_ILSVRC2012_val_00040883.JPEG
18598,18598_ILSVRC2012_val_00041105.JPEG
18828,18828_ILSVRC2012_val_00026114.JPEG
19225,19225_ILSVRC2012_val_00031796.JPEG
20772,20772_ILSVRC2012_val_00043540.JPEG
23832,23832_ILSVRC2012_val_00038222.JPEG
24123,24123_ILSVRC2012_val_00022650.JPEG
25798,25798_ILSVRC2012_val_00047756.JPEG
30335,30335_ILSVRC2012_val_00002287.JPEG
32937,32937_ILSVRC2012_val_00032809.JPEG
33030,33030_ILSVRC2012_val_00014276.JPEG
34856,34856_ILSVRC2012_val_00033129.JPEG
42478,42478_ILSVRC2012_val_00026874.JPEG
47121,47121_ILSVRC2012_val_00015449.JPEG
