rank,image_path
4385,4385_ILSVRC2012_val_00039031.JPEG
7855,7855_ILSVRC2012_val_00037777.JPEG
9195,9195_ILSVRC2012_val_00033591.JPEG
15808,15808_ILSVRC2012_val_00043682.JPEG
16345,16345_ILSVRC2012_val_00047708.JPEG
17717,17717_ILSVRC2012_val_00042285.JPEG
21344,21344_ILSVRC2012_val_00000702.JPEG
21597,21597_ILSVRC2012_val_00040927.JPEG
22143,22143_ILSVRC2012_val_00044458.JPEG
26040,26040_ILSVRC2012_val_00044018.JPEG
26332,26332_ILSVRC2012_val_00045013.JPEG
27889,27889_ILSVRC2012_val_00046001.JPEG
27904,27904_ILSVRC2012_val_00026844.JPEG
29413,29413_ILSVRC2012_val_00018222.JPEG
30646,30646_ILSVRC2012_val_00022899.JPEG
30900,30900_ILSVRC2012_val_00041214.JPEG
32252,32252_ILSVRC2012_val_00029602.JPEG
33088,33088_ILSVRC2012_val_00029034.JPEG
33186,33186_ILSVRC2012_val_00010358.JPEG
33538,33538_ILSVRC2012_val_00032204.JPEG
34396,34396_ILSVRC2012_val_00030150.JPEG
34748,34748_ILSVRC2012_val_00043832.JPEG
34829,34829_ILSVRC2012_val_00049505.JPEG
35259,35259_ILSVRC2012_val_00020648.JPEG
35604,35604_ILSVRC2012_val_00031244.JPEG
36282,36282_ILSVRC2012_val_00014898.JPEG
36342,36342_ILSVRC2012_val_00007550.JPEG
36511,36511_ILSVRC2012_val_00018996.JPEG
36858,36858_ILSVRC2012_val_00018594.JPEG
37207,37207_ILSVRC2012_val_00023136.JPEG
37350,37350_ILSVRC2012_val_00004752.JPEG
39301,39301_ILSVRC2012_val_00004802.JPEG
40210,40210_ILSVRC2012_val_00038172.JPEG
40888,40888_ILSVRC2012_val_00034480.JPEG
41006,41006_ILSVRC2012_val_00000652.JPEG
41275,41275_ILSVRC2012_val_00030498.JPEG
42339,42339_ILSVRC2012_val_00040544.JPEG
42814,42814_ILSVRC2012_val_00026135.JPEG
43539,43539_ILSVRC2012_val_00000121.JPEG
45268,45268_ILSVRC2012_val_00040499.JPEG
45961,45961_ILSVRC2012_val_00045336.JPEG
46141,46141_ILSVRC2012_val_00024181.JPEG
46807,46807_ILSVRC2012_val_00041992.JPEG
46966,46966_ILSVRC2012_val_00033399.JPEG
48013,48013_ILSVRC2012_val_00001062.JPEG
48538,48538_ILSVRC2012_val_00040978.JPEG
48570,48570_ILSVRC2012_val_00043955.JPEG
49336,49336_ILSVRC2012_val_00018475.JPEG
49875,49875_ILSVRC2012_val_00049055.JPEG
49920,49920_ILSVRC2012_val_00006997.JPEG
