rank,image_path
2011,2011_ILSVRC2012_val_00048843.JPEG
2350,2350_ILSVRC2012_val_00035991.JPEG
2945,2945_ILSVRC2012_val_00001865.JPEG
3130,3130_ILSVRC2012_val_00049380.JPEG
3506,3506_ILSVRC2012_val_00028455.JPEG
3547,3547_ILSVRC2012_val_00008153.JPEG
3989,3989_ILSVRC2012_val_00049693.JPEG
4816,4816_ILSVRC2012_val_00019641.JPEG
4896,4896_ILSVRC2012_val_00010732.JPEG
6644,6644_ILSVRC2012_val_00038378.JPEG
7182,7182_ILSVRC2012_val_00041964.JPEG
7479,7479_ILSVRC2012_val_00030827.JPEG
8397,8397_ILSVRC2012_val_00038686.JPEG
9083,9083_ILSVRC2012_val_00003325.JPEG
12075,12075_ILSVRC2012_val_00001886.JPEG
12302,12302_ILSVRC2012_val_00022575.JPEG
12452,12452_ILSVRC2012_val_00033938.JPEG
12564,12564_ILSVRC2012_val_00031629.JPEG
12629,12629_ILSVRC2012_val_00043652.JPEG
12858,12858_ILSVRC2012_val_00039916.JPEG
12901,12901_ILSVRC2012_val_00001023.JPEG
14236,14236_ILSVRC2012_val_00004663.JPEG
15040,15040_ILSVRC2012_val_00021463.JPEG
16392,16392_ILSVRC2012_val_00024576.JPEG
16813,16813_ILSVRC2012_val_00025575.JPEG
17138,17138_ILSVRC2012_val_00044969.JPEG
17144,17144_ILSVRC2012_val_00037879.JPEG
17566,17566_ILSVRC2012_val_00029853.JPEG
20865,20865_ILSVRC2012_val_00037007.JPEG
21729,21729_ILSVRC2012_val_00018609.JPEG
22445,22445_ILSVRC2012_val_00035065.JPEG
23978,23978_ILSVRC2012_val_00049127.JPEG
24024,24024_ILSVRC2012_val_00007867.JPEG
24590,24590_ILSVRC2012_val_00032699.JPEG
24768,24768_ILSVRC2012_val_00003689.JPEG
26740,26740_ILSVRC2012_val_00047034.JPEG
28776,28776_ILSVRC2012_val_00009999.JPEG
29970,29970_ILSVRC2012_val_00015347.JPEG
30113,30113_ILSVRC2012_val_00022426.JPEG
30496,30496_ILSVRC2012_val_00012052.JPEG
30938,30938_ILSVRC2012_val_00019431.JPEG
31910,31910_ILSVRC2012_val_00029449.JPEG
32721,32721_ILSVRC2012_val_00046694.JPEG
33001,33001_ILSVRC2012_val_00040179.JPEG
33931,33931_ILSVRC2012_val_00025716.JPEG
34358,34358_ILSVRC2012_val_00003078.JPEG
36390,36390_ILSVRC2012_val_00022849.JPEG
39091,39091_ILSVRC2012_val_00005285.JPEG
44005,44005_ILSVRC2012_val_00027469.JPEG
48337,48337_ILSVRC2012_val_00038117.JPEG
