rank,image_path
37,37_ILSVRC2012_val_00034206.JPEG
153,153_ILSVRC2012_val_00013450.JPEG
1281,1281_ILSVRC2012_val_00035909.JPEG
2637,2637_ILSVRC2012_val_00020416.JPEG
5991,5991_ILSVRC2012_val_00040804.JPEG
5995,5995_ILSVRC2012_val_00009305.JPEG
6647,6647_ILSVRC2012_val_00048671.JPEG
7362,7362_ILSVRC2012_val_00027781.JPEG
7488,7488_ILSVRC2012_val_00042517.JPEG
7571,7571_ILSVRC2012_val_00014851.JPEG
10040,10040_ILSVRC2012_val_00001479.JPEG
10672,10672_ILSVRC2012_val_00012582.JPEG
11440,11440_ILSVRC2012_val_00012451.JPEG
11516,11516_ILSVRC2012_val_00008782.JPEG
12225,12225_ILSVRC2012_val_00009399.JPEG
12945,12945_ILSVRC2012_val_00047966.JPEG
12967,12967_ILSVRC2012_val_00008567.JPEG
13091,13091_ILSVRC2012_val_00038432.JPEG
13257,13257_ILSVRC2012_val_00009015.JPEG
13964,13964_ILSVRC2012_val_00024461.JPEG
14004,14004_ILSVRC2012_val_00015406.JPEG
14217,14217_ILSVRC2012_val_00029311.JPEG
14886,14886_ILSVRC2012_val_00002440.JPEG
17010,17010_ILSVRC2012_val_00011347.JPEG
17133,17133_ILSVRC2012_val_00029522.JPEG
17721,17721_ILSVRC2012_val_00031767.JPEG
17942,17942_ILSVRC2012_val_00039617.JPEG
18495,18495_ILSVRC2012_val_00004322.JPEG
18579,18579_ILSVRC2012_val_00010614.JPEG
18774,18774_ILSVRC2012_val_00020088.JPEG
18821,18821_ILSVRC2012_val_00047038.JPEG
20298,20298_ILSVRC2012_val_00016984.JPEG
20515,20515_ILSVRC2012_val_00042929.JPEG
21611,21611_ILSVRC2012_val_00004198.JPEG
25161,25161_ILSVRC2012_val_00023804.JPEG
26480,26480_ILSVRC2012_val_00031427.JPEG
26619,26619_ILSVRC2012_val_00030543.JPEG
26746,26746_ILSVRC2012_val_00023957.JPEG
26860,26860_ILSVRC2012_val_00003309.JPEG
28270,28270_ILSVRC2012_val_00039494.JPEG
28728,28728_ILSVRC2012_val_00012119.JPEG
29853,29853_ILSVRC2012_val_00045670.JPEG
30592,30592_ILSVRC2012_val_00018941.JPEG
32588,32588_ILSVRC2012_val_00045126.JPEG
33774,33774_ILSVRC2012_val_00040389.JPEG
35592,35592_ILSVRC2012_val_00003549.JPEG
36590,36590_ILSVRC2012_val_00025281.JPEG
39222,39222_ILSVRC2012_val_00020751.JPEG
42045,42045_ILSVRC2012_val_00030047.JPEG
45693,45693_ILSVRC2012_val_00035283.JPEG
