rank,image_path
957,957_ILSVRC2012_val_00032110.JPEG
2585,2585_ILSVRC2012_val_00047330.JPEG
6469,6469_ILSVRC2012_val_00007078.JPEG
6816,6816_ILSVRC2012_val_00021264.JPEG
7601,7601_ILSVRC2012_val_00040062.JPEG
7724,7724_ILSVRC2012_val_00027285.JPEG
9158,9158_ILSVRC2012_val_00047855.JPEG
9535,9535_ILSVRC2012_val_00038074.JPEG
11448,11448_ILSVRC2012_val_00030925.JPEG
12491,12491_ILSVRC2012_val_00002134.JPEG
14633,14633_ILSVRC2012_val_00023368.JPEG
14846,14846_ILSVRC2012_val_00000840.JPEG
15508,15508_ILSVRC2012_val_00028236.JPEG
17239,17239_ILSVRC2012_val_00029750.JPEG
17467,17467_ILSVRC2012_val_00026890.JPEG
17655,17655_ILSVRC2012_val_00028608.JPEG
19162,19162_ILSVRC2012_val_00000968.JPEG
19275,19275_ILSVRC2012_val_00021898.JPEG
19327,19327_ILSVRC2012_val_00041970.JPEG
21192,21192_ILSVRC2012_val_00019458.JPEG
21642,21642_ILSVRC2012_val_00020960.JPEG
22117,22117_ILSVRC2012_val_00010642.JPEG
22749,22749_ILSVRC2012_val_00003086.JPEG
22905,22905_ILSVRC2012_val_00009442.JPEG
24001,24001_ILSVRC2012_val_00022524.JPEG
24067,24067_ILSVRC2012_val_00024846.JPEG
24974,24974_ILSVRC2012_val_00023747.JPEG
27764,27764_ILSVRC2012_val_00025740.JPEG
27834,27834_ILSVRC2012_val_00027567.JPEG
28570,28570_ILSVRC2012_val_00019675.JPEG
28667,28667_ILSVRC2012_val_00048703.JPEG
30231,30231_ILSVRC2012_val_00022829.JPEG
30339,30339_ILSVRC2012_val_00016041.JPEG
31176,31176_ILSVRC2012_val_00004305.JPEG
34419,34419_ILSVRC2012_val_00027610.JPEG
34670,34670_ILSVRC2012_val_00019662.JPEG
36244,36244_ILSVRC2012_val_00024414.JPEG
36658,36658_ILSVRC2012_val_00038945.JPEG
37036,37036_ILSVRC2012_val_00005373.JPEG
38767,38767_ILSVRC2012_val_00021178.JPEG
39488,39488_ILSVRC2012_val_00027606.JPEG
39974,39974_ILSVRC2012_val_00024276.JPEG
40063,40063_ILSVRC2012_val_00041847.JPEG
40309,40309_ILSVRC2012_val_00025752.JPEG
42348,42348_ILSVRC2012_val_00028038.JPEG
43705,43705_ILSVRC2012_val_00029000.JPEG
44689,44689_ILSVRC2012_val_00040821.JPEG
46090,46090_ILSVRC2012_val_00032082.JPEG
46712,46712_ILSVRC2012_val_00000292.JPEG
47519,47519_ILSVRC2012_val_00031552.JPEG
