rank,image_path
343,343_ILSVRC2012_val_00032919.JPEG
507,507_ILSVRC2012_val_00009785.JPEG
837,837_ILSVRC2012_val_00010502.JPEG
1835,1835_ILSVRC2012_val_00044738.JPEG
1945,1945_ILSVRC2012_val_00036668.JPEG
2184,2184_ILSVRC2012_val_00046183.JPEG
2461,2461_ILSVRC2012_val_00007820.JPEG
2509,2509_ILSVRC2012_val_00010111.JPEG
2579,2579_ILSVRC2012_val_00011493.JPEG
3300,3300_ILSVRC2012_val_00014811.JPEG
4123,4123_ILSVRC2012_val_00048146.JPEG
5006,5006_ILSVRC2012_val_00026720.JPEG
5022,5022_ILSVRC2012_val_00001514.JPEG
6764,6764_ILSVRC2012_val_00009129.JPEG
7251,7251_ILSVRC2012_val_00003893.JPEG
7459,7459_ILSVRC2012_val_00006503.JPEG
7648,7648_ILSVRC2012_val_00031912.JPEG
7997,7997_ILSVRC2012_val_00040282.JPEG
8022,8022_ILSVRC2012_val_00028386.JPEG
8364,8364_ILSVRC2012_val_00028360.JPEG
8403,8403_ILSVRC2012_val_00013645.JPEG
9053,9053_ILSVRC2012_val_00022748.JPEG
9351,9351_ILSVRC2012_val_00027654.JPEG
9827,9827_ILSVRC2012_val_00041999.JPEG
9935,9935_ILSVRC2012_val_00019312.JPEG
10996,10996_ILSVRC2012_val_00012753.JPEG
12438,12438_ILSVRC2012_val_00025102.JPEG
12770,12770_ILSVRC2012_val_00029499.JPEG
12869,12869_ILSVRC2012_val_00021310.JPEG
12874,12874_ILSVRC2012_val_00028928.JPEG
13802,13802_ILSVRC2012_val_00003593.JPEG
14178,14178_ILSVRC2012_val_00021047.JPEG
14785,14785_ILSVRC2012_val_00018186.JPEG
15395,15395_ILSVRC2012_val_00031058.JPEG
17148,17148_ILSVRC2012_val_00036377.JPEG
21355,21355_ILSVRC2012_val_00009916.JPEG
22935,22935_ILSVRC2012_val_00036732.JPEG
26830,26830_ILSVRC2012_val_00009463.JPEG
27060,27060_ILSVRC2012_val_00007605.JPEG
28064,28064_ILSVRC2012_val_00013234.JPEG
29470,29470_ILSVRC2012_val_00006411.JPEG
30255,30255_ILSVRC2012_val_00009431.JPEG
31853,31853_ILSVRC2012_val_00041470.JPEG
34927,34927_ILSVRC2012_val_00011558.JPEG
36256,36256_ILSVRC2012_val_00016923.JPEG
36673,36673_ILSVRC2012_val_00004347.JPEG
38876,38876_ILSVRC2012_val_00007525.JPEG
42822,42822_ILSVRC2012_val_00012211.JPEG
43319,43319_ILSVRC2012_val_00011265.JPEG
47791,47791_ILSVRC2012_val_00024707.JPEG
