rank,image_path
9,9_ILSVRC2012_val_00024325.JPEG
1663,1663_ILSVRC2012_val_00005243.JPEG
1812,1812_ILSVRC2012_val_00038065.JPEG
2117,2117_ILSVRC2012_val_00037361.JPEG
2139,2139_ILSVRC2012_val_00027802.JPEG
2477,2477_ILSVRC2012_val_00041510.JPEG
2589,2589_ILSVRC2012_val_00049176.JPEG
2884,2884_ILSVRC2012_val_00012414.JPEG
3192,3192_ILSVRC2012_val_00021587.JPEG
4662,4662_ILSVRC2012_val_00008208.JPEG
5473,5473_ILSVRC2012_val_00037557.JPEG
5510,5510_ILSVRC2012_val_00012406.JPEG
6519,6519_ILSVRC2012_val_00016015.JPEG
6798,6798_ILSVRC2012_val_00044646.JPEG
7819,7819_ILSVRC2012_val_00031706.JPEG
8638,8638_ILSVRC2012_val_00025637.JPEG
8889,8889_ILSVRC2012_val_00045275.JPEG
9505,9505_ILSVRC2012_val_00049030.JPEG
9609,9609_ILSVRC2012_val_00044340.JPEG
9791,9791_ILSVRC2012_val_00004861.JPEG
9958,9958_ILSVRC2012_val_00022951.JPEG
12023,12023_ILSVRC2012_val_00000007.JPEG
12150,12150_ILSVRC2012_val_00001241.JPEG
12304,12304_ILSVRC2012_val_00019746.JPEG
12423,12423_ILSVRC2012_val_00010410.JPEG
13163,13163_ILSVRC2012_val_00025333.JPEG
13445,13445_ILSVRC2012_val_00031089.JPEG
13975,13975_ILSVRC2012_val_00040165.JPEG
14275,14275_ILSVRC2012_val_00004986.JPEG
15125,15125_ILSVRC2012_val_00043963.JPEG
16617,16617_ILSVRC2012_val_00047267.JPEG
17045,17045_ILSVRC2012_val_00005852.JPEG
17221,17221_ILSVRC2012_val_00017315.JPEG
18243,18243_ILSVRC2012_val_00007251.JPEG
19827,19827_ILSVRC2012_val_00000021.JPEG
22042,22042_ILSVRC2012_val_00048070.JPEG
22269,22269_ILSVRC2012_val_00039685.JPEG
23770,23770_ILSVRC2012_val_00033368.JPEG
24430,24430_ILSVRC2012_val_00016953.JPEG
24500,24500_ILSVRC2012_val_00019800.JPEG
27940,27940_ILSVRC2012_val_00027925.JPEG
33483,33483_ILSVRC2012_val_00005716.JPEG
34125,34125_ILSVRC2012_val_00047422.JPEG
34932,34932_ILSVRC2012_val_00003579.JPEG
36318,36318_ILSVRC2012_val_00015985.JPEG
37242,37242_ILSVRC2012_val_00036853.JPEG
37423,37423_ILSVRC2012_val_00034246.JPEG
38328,38328_ILSVRC2012_val_00041439.JPEG
47640,47640_ILSVRC2012_val_00013237.JPEG
49228,49228_ILSVRC2012_val_00012165.JPEG
