rank,image_path
250,250_ILSVRC2012_val_00007742.JPEG
3332,3332_ILSVRC2012_val_00044647.JPEG
5296,5296_ILSVRC2012_val_00045165.JPEG
5339,5339_ILSVRC2012_val_00017047.JPEG
5715,5715_ILSVRC2012_val_00024183.JPEG
7568,7568_ILSVRC2012_val_00038744.JPEG
7730,7730_ILSVRC2012_val_00035304.JPEG
7950,7950_ILSVRC2012_val_00014958.JPEG
8741,8741_ILSVRC2012_val_00025057.JPEG
11388,11388_ILSVRC2012_val_00028624.JPEG
11982,11982_ILSVRC2012_val_00023752.JPEG
13205,13205_ILSVRC2012_val_00033408.JPEG
13985,13985_ILSVRC2012_val_00012064.JPEG
14601,14601_ILSVRC2012_val_00024522.JPEG
15043,15043_ILSVRC2012_val_00007192.JPEG
15177,15177_ILSVRC2012_val_00028699.JPEG
17238,17238_ILSVRC2012_val_00038510.JPEG
17551,17551_ILSVRC2012_val_00000891.JPEG
18950,18950_ILSVRC2012_val_00002252.JPEG
19347,19347_ILSVRC2012_val_00011464.JPEG
20730,20730_ILSVRC2012_val_00033327.JPEG
21698,21698_ILSVRC2012_val_00006197.JPEG
22511,22511_ILSVRC2012_val_00018217.JPEG
24272,24272_ILSVRC2012_val_00014687.JPEG
24436,24436_ILSVRC2012_val_00025390.JPEG
25032,25032_ILSVRC2012_val_00013493.JPEG
25143,25143_ILSVRC2012_val_00007087.JPEG
26676,26676_ILSVRC2012_val_00013979.JPEG
27203,27203_ILSVRC2012_val_00003416.JPEG
28433,28433_ILSVRC2012_val_00020592.JPEG
29317,29317_ILSVRC2012_val_00025414.JPEG
30715,30715_ILSVRC2012_val_00014104.JPEG
34004,34004_ILSVRC2012_val_00018194.JPEG
34261,34261_ILSVRC2012_val_00019823.JPEG
34510,34510_ILSVRC2012_val_00029962.JPEG
35281,35281_ILSVRC2012_val_00026653.JPEG
35338,35338_ILSVRC2012_val_00007024.JPEG
36436,36436_ILSVRC2012_val_00018426.JPEG
37833,37833_ILSVRC2012_val_00017241.JPEG
40249,40249_ILSVRC2012_val_00004887.JPEG
41335,41335_ILSVRC2012_val_00019608.JPEG
41383,41383_ILSVRC2012_val_00019850.JPEG
41875,41875_ILSVRC2012_val_00001967.JPEG
42168,42168_ILSVRC2012_val_00002054.JPEG
43219,43219_ILSVRC2012_val_00027272.JPEG
44539,44539_ILSVRC2012_val_00004759.JPEG
44992,44992_ILSVRC2012_val_00008100.JPEG
45274,45274_ILSVRC2012_val_00004195.JPEG
45935,45935_ILSVRC2012_val_00013996.JPEG
46458,46458_ILSVRC2012_val_00033249.JPEG
