rank,image_path
1189,1189_ILSVRC2012_val_00000860.JPEG
1872,1872_ILSVRC2012_val_00009827.JPEG
3776,3776_ILSVRC2012_val_00017508.JPEG
4246,4246_ILSVRC2012_val_00017253.JPEG
4268,4268_ILSVRC2012_val_00039724.JPEG
4603,4603_ILSVRC2012_val_00048825.JPEG
4610,4610_ILSVRC2012_val_00037119.JPEG
5037,5037_ILSVRC2012_val_00027946.JPEG
5954,5954_ILSVRC2012_val_00013641.JPEG
6752,6752_ILSVRC2012_val_00029150.JPEG
6766,6766_ILSVRC2012_val_00022189.JPEG
7466,7466_ILSVRC2012_val_00041288.JPEG
8002,8002_ILSVRC2012_val_00006221.JPEG
8004,8004_ILSVRC2012_val_00011787.JPEG
8019,8019_ILSVRC2012_val_00045392.JPEG
8746,8746_ILSVRC2012_val_00034515.JPEG
8951,8951_ILSVRC2012_val_00012410.JPEG
10304,10304_ILSVRC2012_val_00028167.JPEG
10519,10519_ILSVRC2012_val_00049988.JPEG
10608,10608_ILSVRC2012_val_00001596.JPEG
12779,12779_ILSVRC2012_val_00022769.JPEG
13714,13714_ILSVRC2012_val_00015565.JPEG
13776,13776_ILSVRC2012_val_00047258.JPEG
13986,13986_ILSVRC2012_val_00024630.JPEG
14266,14266_ILSVRC2012_val_00031432.JPEG
14372,14372_ILSVRC2012_val_00024396.JPEG
14733,14733_ILSVRC2012_val_00019036.JPEG
14899,14899_ILSVRC2012_val_00036179.JPEG
16105,16105_ILSVRC2012_val_00006847.JPEG
18350,18350_ILSVRC2012_val_00002846.JPEG
20351,20351_ILSVRC2012_val_00030116.JPEG
20507,20507_ILSVRC2012_val_00026112.JPEG
24202,24202_ILSVRC2012_val_00026138.JPEG
24665,24665_ILSVRC2012_val_00035916.JPEG
26257,26257_ILSVRC2012_val_00039113.JPEG
26745,26745_ILSVRC2012_val_00001641.JPEG
32931,32931_ILSVRC2012_val_00022095.JPEG
33011,33011_ILSVRC2012_val_00024098.JPEG
33033,33033_ILSVRC2012_val_00020587.JPEG
34224,34224_ILSVRC2012_val_00046574.JPEG
35277,35277_ILSVRC2012_val_00008993.JPEG
35714,35714_ILSVRC2012_val_00025998.JPEG
35875,35875_ILSVRC2012_val_00015815.JPEG
37341,37341_ILSVRC2012_val_00033431.JPEG
37613,37613_ILSVRC2012_val_00009647.JPEG
40276,40276_ILSVRC2012_val_00040103.JPEG
40811,40811_ILSVRC2012_val_00005100.JPEG
42815,42815_ILSVRC2012_val_00044591.JPEG
44849,44849_ILSVRC2012_val_00034282.JPEG
47767,47767_ILSVRC2012_val_00031689.JPEG
