rank,image_path
249,249_ILSVRC2012_val_00019105.JPEG
1750,1750_ILSVRC2012_val_00000454.JPEG
2343,2343_ILSVRC2012_val_00014952.JPEG
2373,2373_ILSVRC2012_val_00002750.JPEG
3044,3044_ILSVRC2012_val_00035285.JPEG
3413,3413_ILSVRC2012_val_00040433.JPEG
4189,4189_ILSVRC2012_val_00000861.JPEG
4225,4225_ILSVRC2012_val_00049790.JPEG
4383,4383_ILSVRC2012_val_00043277.JPEG
5208,5208_ILSVRC2012_val_00012382.JPEG
5373,5373_ILSVRC2012_val_00049419.JPEG
5447,5447_ILSVRC2012_val_00007030.JPEG
6455,6455_ILSVRC2012_val_00021409.JPEG
6604,6604_ILSVRC2012_val_00000682.JPEG
6772,6772_ILSVRC2012_val_00009756.JPEG
7009,7009_ILSVRC2012_val_00031317.JPEG
7316,7316_ILSVRC2012_val_00025351.JPEG
7432,7432_ILSVRC2012_val_00017276.JPEG
7434,7434_ILSVRC2012_val_00016439.JPEG
8280,8280_ILSVRC2012_val_00021659.JPEG
8464,8464_ILSVRC2012_val_00041780.JPEG
8782,8782_ILSVRC2012_val_00034959.JPEG
9408,9408_ILSVRC2012_val_00027155.JPEG
9482,9482_ILSVRC2012_val_00002816.JPEG
9793,9793_ILSVRC2012_val_00006926.JPEG
10381,10381_ILSVRC2012_val_00038669.JPEG
10935,10935_ILSVRC2012_val_00004469.JPEG
10986,10986_ILSVRC2012_val_00024388.JPEG
11630,11630_ILSVRC2012_val_00044487.JPEG
12861,12861_ILSVRC2012_val_00049335.JPEG
13175,13175_ILSVRC2012_val_00041035.JPEG
15632,15632_ILSVRC2012_val_00023956.JPEG
15951,15951_ILSVRC2012_val_00023684.JPEG
16256,16256_ILSVRC2012_val_00024203.JPEG
16818,16818_ILSVRC2012_val_00028690.JPEG
17159,17159_ILSVRC2012_val_00027603.JPEG
17585,17585_ILSVRC2012_val_00048759.JPEG
17945,17945_ILSVRC2012_val_00024819.JPEG
18928,18928_ILSVRC2012_val_00020227.JPEG
19784,19784_ILSVRC2012_val_00029072.JPEG
31441,31441_ILSVRC2012_val_00024506.JPEG
32379,32379_ILSVRC2012_val_00010972.JPEG
35183,35183_ILSVRC2012_val_00011282.JPEG
35426,35426_ILSVRC2012_val_00013391.JPEG
36087,36087_ILSVRC2012_val_00040687.JPEG
36172,36172_ILSVRC2012_val_00035015.JPEG
38339,38339_ILSVRC2012_val_00040973.JPEG
40078,40078_ILSVRC2012_val_00048262.JPEG
42848,42848_ILSVRC2012_val_00044405.JPEG
44726,44726_ILSVRC2012_val_00040797.JPEG
