rank,image_path
168,168_ILSVRC2012_val_00021476.JPEG
1532,1532_ILSVRC2012_val_00025174.JPEG
1681,1681_ILSVRC2012_val_00011123.JPEG
1916,1916_ILSVRC2012_val_00008373.JPEG
2737,2737_ILSVRC2012_val_00028749.JPEG
2974,2974_ILSVRC2012_val_00002401.JPEG
3458,3458_ILSVRC2012_val_00008184.JPEG
3912,3912_ILSVRC2012_val_00044946.JPEG
5591,5591_ILSVRC2012_val_00011321.JPEG
7736,7736_ILSVRC2012_val_00014195.JPEG
7742,7742_ILSVRC2012_val_00023468.JPEG
7836,7836_ILSVRC2012_val_00012005.JPEG
8184,8184_ILSVRC2012_val_00008212.JPEG
10204,10204_ILSVRC2012_val_00017947.JPEG
10496,10496_ILSVRC2012_val_00035415.JPEG
11821,11821_ILSVRC2012_val_00025407.JPEG
12925,12925_ILSVRC2012_val_00019403.JPEG
13209,13209_ILSVRC2012_val_00033507.JPEG
13459,13459_ILSVRC2012_val_00038928.JPEG
13718,13718_ILSVRC2012_val_00008730.JPEG
14895,14895_ILSVRC2012_val_00027264.JPEG
15002,15002_ILSVRC2012_val_00019539.JPEG
18484,18484_ILSVRC2012_val_00012138.JPEG
18544,18544_ILSVRC2012_val_00034545.JPEG
18584,18584_ILSVRC2012_val_00049696.JPEG
19186,19186_ILSVRC2012_val_00006080.JPEG
19647,19647_ILSVRC2012_val_00036016.JPEG
19725,19725_ILSVRC2012_val_00044313.JPEG
21334,21334_ILSVRC2012_val_00043777.JPEG
21336,21336_ILSVRC2012_val_00029587.JPEG
21857,21857_ILSVRC2012_val_00018606.JPEG
23257,23257_ILSVRC2012_val_00032907.JPEG
24010,24010_ILSVRC2012_val_00013189.JPEG
24955,24955_ILSVRC2012_val_00018824.JPEG
26751,26751_ILSVRC2012_val_00007185.JPEG
26858,26858_ILSVRC2012_val_00005213.JPEG
27357,27357_ILSVRC2012_val_00043722.JPEG
27672,27672_ILSVRC2012_val_00029877.JPEG
27839,27839_ILSVRC2012_val_00041768.JPEG
27998,27998_ILSVRC2012_val_00033584.JPEG
28470,28470_ILSVRC2012_val_00042896.JPEG
29993,29993_ILSVRC2012_val_00008604.JPEG
29999,29999_ILSVRC2012_val_00020220.JPEG
32043,32043_ILSVRC2012_val_00001193.JPEG
32069,32069_ILSVRC2012_val_00010683.JPEG
39001,39001_ILSVRC2012_val_00009982.JPEG
39149,39149_ILSVRC2012_val_00045811.JPEG
41307,41307_ILSVRC2012_val_00000918.JPEG
44814,44814_ILSVRC2012_val_00019369.JPEG
49398,49398_ILSVRC2012_val_00000699.JPEG
