rank,image_path
606,606_ILSVRC2012_val_00024240.JPEG
781,781_ILSVRC2012_val_00039291.JPEG
1257,1257_ILSVRC2012_val_00017188.JPEG
2214,2214_ILSVRC2012_val_00030877.JPEG
3287,3287_ILSVRC2012_val_00045204.JPEG
3377,3377_ILSVRC2012_val_00001009.JPEG
4035,4035_ILSVRC2012_val_00047017.JPEG
4732,4732_ILSVRC2012_val_00007928.JPEG
5045,5045_ILSVRC2012_val_00024249.JPEG
5434,5434_ILSVRC2012_val_00025501.JPEG
5690,5690_ILSVRC2012_val_00034267.JPEG
6215,6215_ILSVRC2012_val_00017965.JPEG
6347,6347_ILSVRC2012_val_00031219.JPEG
7804,7804_ILSVRC2012_val_00047583.JPEG
7976,7976_ILSVRC2012_val_00030603.JPEG
8106,8106_ILSVRC2012_val_00015786.JPEG
8378,8378_ILSVRC2012_val_00017938.JPEG
11426,11426_ILSVRC2012_val_00036072.JPEG
11837,11837_ILSVRC2012_val_00046804.JPEG
12794,12794_ILSVRC2012_val_00029246.JPEG
13151,13151_ILSVRC2012_val_00014500.JPEG
13996,13996_ILSVRC2012_val_00013670.JPEG
15041,15041_ILSVRC2012_val_00013653.JPEG
15253,15253_ILSVRC2012_val_00015395.JPEG
16461,16461_ILSVRC2012_val_00043817.JPEG
16489,16489_ILSVRC2012_val_00030606.JPEG
16978,16978_ILSVRC2012_val_00028895.JPEG
17731,17731_ILSVRC2012_val_00011023.JPEG
18119,18119_ILSVRC2012_val_00010846.JPEG
19873,19873_ILSVRC2012_val_00023543.JPEG
20135,20135_ILSVRC2012_val_00013622.JPEG
21158,21158_ILSVRC2012_val_00032117.JPEG
21368,21368_ILSVRC2012_val_00042286.JPEG
21419,21419_ILSVRC2012_val_00011495.JPEG
21485,21485_ILSVRC2012_val_00001397.JPEG
21912,21912_ILSVRC2012_val_00019464.JPEG
22751,22751_ILSVRC2012_val_00033673.JPEG
23456,23456_ILSVRC2012_val_00000220.JPEG
24333,24333_ILSVRC2012_val_00042922.JPEG
24543,24543_ILSVRC2012_val_00013278.JPEG
24704,24704_ILSVRC2012_val_00013869.JPEG
25118,25118_ILSVRC2012_val_00000333.JPEG
25634,25634_ILSVRC2012_val_00001646.JPEG
27107,27107_ILSVRC2012_val_00028408.JPEG
27866,27866_ILSVRC2012_val_00015419.JPEG
29713,29713_ILSVRC2012_val_00034628.JPEG
31508,31508_ILSVRC2012_val_00005017.JPEG
38690,38690_ILSVRC2012_val_00008585.JPEG
39376,39376_ILSVRC2012_val_00024642.JPEG
40742,40742_ILSVRC2012_val_00038637.JPEG
