rank,image_path
1262,1262_ILSVRC2012_val_00008276.JPEG
2351,2351_ILSVRC2012_val_00010977.JPEG
4608,4608_ILSVRC2012_val_00041453.JPEG
4676,4676_ILSVRC2012_val_00040578.JPEG
6012,6012_ILSVRC2012_val_00012071.JPEG
8572,8572_ILSVRC2012_val_00006405.JPEG
10863,10863_ILSVRC2012_val_00010656.JPEG
14015,14015_ILSVRC2012_val_00007418.JPEG
15011,15011_ILSVRC2012_val_00047872.JPEG
16586,16586_ILSVRC2012_val_00006510.JPEG
16774,16774_ILSVRC2012_val_00019768.JPEG
19946,19946_ILSVRC2012_val_00028348.JPEG
20822,20822_ILSVRC2012_val_00041943.JPEG
22849,22849_ILSVRC2012_val_00011395.JPEG
22952,22952_ILSVRC2012_val_00048984.JPEG
23051,23051_ILSVRC2012_val_00005537.JPEG
23286,23286_ILSVRC2012_val_00005405.JPEG
24077,24077_ILSVRC2012_val_00008547.JPEG
24288,24288_ILSVRC2012_val_00023979.JPEG
24628,24628_ILSVRC2012_val_00003920.JPEG
25248,25248_ILSVRC2012_val_00029900.JPEG
26787,26787_ILSVRC2012_val_00042986.JPEG
27222,27222_ILSVRC2012_val_00032395.JPEG
27375,27375_ILSVRC2012_val_00027896.JPEG
29434,29434_ILSVRC2012_val_00046859.JPEG
31715,31715_ILSVRC2012_val_00013561.JPEG
32009,32009_ILSVRC2012_val_00007919.JPEG
33386,33386_ILSVRC2012_val_00015474.JPEG
33559,33559_ILSVRC2012_val_00030819.JPEG
36845,36845_ILSVRC2012_val_00017642.JPEG
37241,37241_ILSVRC2012_val_00012992.JPEG
37638,37638_ILSVRC2012_val_00037966.JPEG
38570,38570_ILSVRC2012_val_00049616.JPEG
38992,38992_ILSVRC2012_val_00037189.JPEG
39435,39435_ILSVRC2012_val_00006485.JPEG
39497,39497_ILSVRC2012_val_00010716.JPEG
40411,40411_ILSVRC2012_val_00033882.JPEG
40618,40618_ILSVRC2012_val_00032748.JPEG
41352,41352_ILSVRC2012_val_00028845.JPEG
42503,42503_ILSVRC2012_val_00043545.JPEG
42798,42798_ILSVRC2012_val_00030413.JPEG
43135,43135_ILSVRC2012_val_00003452.JPEG
43514,43514_ILSVRC2012_val_00003025.JPEG
44718,44718_ILSVRC2012_val_00031476.JPEG
45117,45117_ILSVRC2012_val_00005486.JPEG
46104,46104_ILSVRC2012_val_00002782.JPEG
46168,46168_ILSVRC2012_val_00017190.JPEG
46605,46605_ILSVRC2012_val_00042866.JPEG
47024,47024_ILSVRC2012_val_00009676.JPEG
48408,48408_ILSVRC2012_val_00035103.JPEG
