rank,image_path
1009,1009_ILSVRC2012_val_00031768.JPEG
1845,1845_ILSVRC2012_val_00014193.JPEG
3149,3149_ILSVRC2012_val_00006721.JPEG
3390,3390_ILSVRC2012_val_00003528.JPEG
6211,6211_ILSVRC2012_val_00036981.JPEG
15424,15424_ILSVRC2012_val_00002001.JPEG
15895,15895_ILSVRC2012_val_00039401.JPEG
16590,16590_ILSVRC2012_val_00038824.JPEG
16615,16615_ILSVRC2012_val_00036794.JPEG
16852,16852_ILSVRC2012_val_00015890.JPEG
16965,16965_ILSVRC2012_val_00011060.JPEG
17571,17571_ILSVRC2012_val_00030576.JPEG
18524,18524_ILSVRC2012_val_00012128.JPEG
18944,18944_ILSVRC2012_val_00041863.JPEG
20012,20012_ILSVRC2012_val_00002345.JPEG
20238,20238_ILSVRC2012_val_00020073.JPEG
20256,20256_ILSVRC2012_val_00003376.JPEG
20458,20458_ILSVRC2012_val_00042931.JPEG
20782,20782_ILSVRC2012_val_00026984.JPEG
21030,21030_ILSVRC2012_val_00014789.JPEG
21135,21135_ILSVRC2012_val_00001345.JPEG
21139,21139_ILSVRC2012_val_00025003.JPEG
21549,21549_ILSVRC2012_val_00036076.JPEG
23924,23924_ILSVRC2012_val_00017841.JPEG
24262,24262_ILSVRC2012_val_00028495.JPEG
24880,24880_ILSVRC2012_val_00035789.JPEG
26155,26155_ILSVRC2012_val_00017737.JPEG
28248,28248_ILSVRC2012_val_00023962.JPEG
28381,28381_ILSVRC2012_val_00033477.JPEG
28687,28687_ILSVRC2012_val_00012337.JPEG
29220,29220_ILSVRC2012_val_00001457.JPEG
29670,29670_ILSVRC2012_val_00025246.JPEG
30135,30135_ILSVRC2012_val_00035051.JPEG
33062,33062_ILSVRC2012_val_00008557.JPEG
33477,33477_ILSVRC2012_val_00017614.JPEG
35844,35844_ILSVRC2012_val_00018322.JPEG
37637,37637_ILSVRC2012_val_00007590.JPEG
37794,37794_ILSVRC2012_val_00015617.JPEG
37824,37824_ILSVRC2012_val_00019393.JPEG
38491,38491_ILSVRC2012_val_00007806.JPEG
38569,38569_ILSVRC2012_val_00038041.JPEG
40107,40107_ILSVRC2012_val_00010234.JPEG
40867,40867_ILSVRC2012_val_00011707.JPEG
41979,41979_ILSVRC2012_val_00008657.JPEG
42967,42967_ILSVRC2012_val_00009513.JPEG
43384,43384_ILSVRC2012_val_00034976.JPEG
44549,44549_ILSVRC2012_val_00034017.JPEG
44847,44847_ILSVRC2012_val_00015664.JPEG
45271,45271_ILSVRC2012_val_00003041.JPEG
47847,47847_ILSVRC2012_val_00012813.JPEG
