rank,image_path
2293,2293_ILSVRC2012_val_00044687.JPEG
4674,4674_ILSVRC2012_val_00027774.JPEG
5913,5913_ILSVRC2012_val_00034188.JPEG
10890,10890_ILSVRC2012_val_00015071.JPEG
12917,12917_ILSVRC2012_val_00015353.JPEG
16614,16614_ILSVRC2012_val_00041271.JPEG
18029,18029_ILSVRC2012_val_00001197.JPEG
18710,18710_ILSVRC2012_val_00042257.JPEG
20199,20199_ILSVRC2012_val_00007136.JPEG
23006,23006_ILSVRC2012_val_00026972.JPEG
23023,23023_ILSVRC2012_val_00005221.JPEG
25858,25858_ILSVRC2012_val_00041917.JPEG
27436,27436_ILSVRC2012_val_00004482.JPEG
27795,27795_ILSVRC2012_val_00046461.JPEG
28847,28847_ILSVRC2012_val_00001511.JPEG
29190,29190_ILSVRC2012_val_00007047.JPEG
29276,29276_ILSVRC2012_val_00031844.JPEG
29488,29488_ILSVRC2012_val_00048320.JPEG
29887,29887_ILSVRC2012_val_00023638.JPEG
30738,30738_ILSVRC2012_val_00026389.JPEG
31261,31261_ILSVRC2012_val_00016128.JPEG
31263,31263_ILSVRC2012_val_00008340.JPEG
32439,32439_ILSVRC2012_val_00020509.JPEG
34335,34335_ILSVRC2012_val_00035641.JPEG
34589,34589_ILSVRC2012_val_00030906.JPEG
34612,34612_ILSVRC2012_val_00009944.JPEG
35319,35319_ILSVRC2012_val_00016045.JPEG
35419,35419_ILSVRC2012_val_00027873.JPEG
35593,35593_ILSVRC2012_val_00033874.JPEG
36180,36180_ILSVRC2012_val_00031404.JPEG
37482,37482_ILSVRC2012_val_00014527.JPEG
37550,37550_ILSVRC2012_val_00047483.JPEG
37682,37682_ILSVRC2012_val_00008409.JPEG
37857,37857_ILSVRC2012_val_00002013.JPEG
39226,39226_ILSVRC2012_val_00013165.JPEG
39295,39295_ILSVRC2012_val_00007342.JPEG
42557,42557_ILSVRC2012_val_00012625.JPEG
42872,42872_ILSVRC2012_val_00011029.JPEG
42946,42946_ILSVRC2012_val_00005752.JPEG
43050,43050_ILSVRC2012_val_00017857.JPEG
43601,43601_ILSVRC2012_val_00047653.JPEG
44894,44894_ILSVRC2012_val_00007459.JPEG
44899,44899_ILSVRC2012_val_00047408.JPEG
45034,45034_ILSVRC2012_val_00008026.JPEG
45372,45372_ILSVRC2012_val_00038032.JPEG
46153,46153_ILSVRC2012_val_00000260.JPEG
47400,47400_ILSVRC2012_val_00011051.JPEG
48217,48217_ILSVRC2012_val_00024387.JPEG
48478,48478_ILSVRC2012_val_00041150.JPEG
48858,48858_ILSVRC2012_val_00032974.JPEG
