rank,image_path
12119,12119_ILSVRC2012_val_00023484.JPEG
12178,12178_ILSVRC2012_val_00041853.JPEG
13884,13884_ILSVRC2012_val_00027574.JPEG
14380,14380_ILSVRC2012_val_00010824.JPEG
16239,16239_ILSVRC2012_val_00035858.JPEG
16326,16326_ILSVRC2012_val_00007498.JPEG
18721,18721_ILSVRC2012_val_00000135.JPEG
18852,18852_ILSVRC2012_val_00019285.JPEG
19167,19167_ILSVRC2012_val_00006738.JPEG
20206,20206_ILSVRC2012_val_00038390.JPEG
20387,20387_ILSVRC2012_val_00022936.JPEG
21483,21483_ILSVRC2012_val_00001995.JPEG
21595,21595_ILSVRC2012_val_00049700.JPEG
21962,21962_ILSVRC2012_val_00028900.JPEG
22325,22325_ILSVRC2012_val_00025389.JPEG
22642,22642_ILSVRC2012_val_00043047.JPEG
23940,23940_ILSVRC2012_val_00003779.JPEG
24107,24107_ILSVRC2012_val_00030124.JPEG
24233,24233_ILSVRC2012_val_00014191.JPEG
24900,24900_ILSVRC2012_val_00032618.JPEG
25192,25192_ILSVRC2012_val_00020181.JPEG
28963,28963_ILSVRC2012_val_00044471.JPEG
28981,28981_ILSVRC2012_val_00008457.JPEG
29143,29143_ILSVRC2012_val_00010565.JPEG
29269,29269_ILSVRC2012_val_00017979.JPEG
30303,30303_ILSVRC2012_val_00042773.JPEG
31415,31415_ILSVRC2012_val_00024944.JPEG
31955,31955_ILSVRC2012_val_00005076.JPEG
32793,32793_ILSVRC2012_val_00026480.JPEG
33459,33459_ILSVRC2012_val_00026947.JPEG
33723,33723_ILSVRC2012_val_00017209.JPEG
34736,34736_ILSVRC2012_val_00015688.JPEG
34895,34895_ILSVRC2012_val_00046201.JPEG
35349,35349_ILSVRC2012_val_00034824.JPEG
35543,35543_ILSVRC2012_val_00049037.JPEG
36617,36617_ILSVRC2012_val_00019802.JPEG
36884,36884_ILSVRC2012_val_00043338.JPEG
37850,37850_ILSVRC2012_val_00027891.JPEG
38525,38525_ILSVRC2012_val_00045368.JPEG
38782,38782_ILSVRC2012_val_00025858.JPEG
39064,39064_ILSVRC2012_val_00022017.JPEG
39099,39099_ILSVRC2012_val_00038994.JPEG
44348,44348_ILSVRC2012_val_00043810.JPEG
44727,44727_ILSVRC2012_val_00037055.JPEG
46253,46253_ILSVRC2012_val_00012769.JPEG
46601,46601_ILSVRC2012_val_00048516.JPEG
46683,46683_ILSVRC2012_val_00028209.JPEG
47108,47108_ILSVRC2012_val_00019812.JPEG
48875,48875_ILSVRC2012_val_00043710.JPEG
49801,49801_ILSVRC2012_val_00023273.JPEG
