rank,image_path
358,358_ILSVRC2012_val_00014235.JPEG
1012,1012_ILSVRC2012_val_00027882.JPEG
8835,8835_ILSVRC2012_val_00040492.JPEG
11047,11047_ILSVRC2012_val_00013570.JPEG
13633,13633_ILSVRC2012_val_00048706.JPEG
13763,13763_ILSVRC2012_val_00019446.JPEG
14904,14904_ILSVRC2012_val_00042513.JPEG
15510,15510_ILSVRC2012_val_00030484.JPEG
17473,17473_ILSVRC2012_val_00011902.JPEG
19592,19592_ILSVRC2012_val_00048757.JPEG
19631,19631_ILSVRC2012_val_00049332.JPEG
19891,19891_ILSVRC2012_val_00026750.JPEG
21051,21051_ILSVRC2012_val_00017145.JPEG
22330,22330_ILSVRC2012_val_00040411.JPEG
24216,24216_ILSVRC2012_val_00023655.JPEG
24692,24692_ILSVRC2012_val_00001027.JPEG
29598,29598_ILSVRC2012_val_00044042.JPEG
30399,30399_ILSVRC2012_val_00022185.JPEG
31020,31020_ILSVRC2012_val_00025910.JPEG
32333,32333_ILSVRC2012_val_00015868.JPEG
32389,32389_ILSVRC2012_val_00038653.JPEG
33201,33201_ILSVRC2012_val_00047313.JPEG
34099,34099_ILSVRC2012_val_00035372.JPEG
36135,36135_ILSVRC2012_val_00041575.JPEG
36210,36210_ILSVRC2012_val_00023652.JPEG
36235,36235_ILSVRC2012_val_00014871.JPEG
36654,36654_ILSVRC2012_val_00035988.JPEG
36794,36794_ILSVRC2012_val_00047560.JPEG
38144,38144_ILSVRC2012_val_00048771.JPEG
38522,38522_ILSVRC2012_val_00014327.JPEG
39258,39258_ILSVRC2012_val_00004978.JPEG
39343,39343_ILSVRC2012_val_00016555.JPEG
39544,39544_ILSVRC2012_val_00041048.JPEG
39993,39993_ILSVRC2012_val_00016916.JPEG
40656,40656_ILSVRC2012_val_00036891.JPEG
41147,41147_ILSVRC2012_val_00023019.JPEG
41182,41182_ILSVRC2012_val_00035280.JPEG
41293,41293_ILSVRC2012_val_00026395.JPEG
41421,41421_ILSVRC2012_val_00006940.JPEG
42930,42930_ILSVRC2012_val_00003314.JPEG
43203,43203_ILSVRC2012_val_00043956.JPEG
43461,43461_ILSVRC2012_val_00004137.JPEG
43899,43899_ILSVRC2012_val_00043984.JPEG
44471,44471_ILSVRC2012_val_00022981.JPEG
45466,45466_ILSVRC2012_val_00048002.JPEG
46290,46290_ILSVRC2012_val_00016391.JPEG
46547,46547_ILSVRC2012_val_00022880.JPEG
46762,46762_ILSVRC2012_val_00008559.JPEG
47647,47647_ILSVRC2012_val_00010829.JPEG
48124,48124_ILSVRC2012_val_00007299.JPEG
