rank,image_path
1206,1206_ILSVRC2012_val_00008113.JPEG
4984,4984_ILSVRC2012_val_00025207.JPEG
6748,6748_ILSVRC2012_val_00034084.JPEG
11500,11500_ILSVRC2012_val_00003449.JPEG
12237,12237_ILSVRC2012_val_00029562.JPEG
16076,16076_ILSVRC2012_val_00000157.JPEG
16481,16481_ILSVRC2012_val_00025140.JPEG
17007,17007_ILSVRC2012_val_00003974.JPEG
17014,17014_ILSVRC2012_val_00035165.JPEG
17103,17103_ILSVRC2012_val_00045601.JPEG
17423,17423_ILSVRC2012_val_00049262.JPEG
17896,17896_ILSVRC2012_val_00008938.JPEG
18114,18114_ILSVRC2012_val_00032623.JPEG
18949,18949_ILSVRC2012_val_00012749.JPEG
19261,19261_ILSVRC2012_val_00049298.JPEG
19643,19643_ILSVRC2012_val_00020225.JPEG
20039,20039_ILSVRC2012_val_00037080.JPEG
22057,22057_ILSVRC2012_val_00049984.JPEG
22507,22507_ILSVRC2012_val_00049886.JPEG
26847,26847_ILSVRC2012_val_00041499.JPEG
27916,27916_ILSVRC2012_val_00026288.JPEG
29399,29399_ILSVRC2012_val_00029735.JPEG
30639,30639_ILSVRC2012_val_00011084.JPEG
31041,31041_ILSVRC2012_val_00016471.JPEG
31292,31292_ILSVRC2012_val_00010297.JPEG
31639,31639_ILSVRC2012_val_00014798.JPEG
32456,32456_ILSVRC2012_val_00006668.JPEG
34455,34455_ILSVRC2012_val_00031470.JPEG
34869,34869_ILSVRC2012_val_00033641.JPEG
35521,35521_ILSVRC2012_val_00031297.JPEG
37290,37290_ILSVRC2012_val_00036547.JPEG
40982,40982_ILSVRC2012_val_00014133.JPEG
42466,42466_ILSVRC2012_val_00009066.JPEG
43841,43841_ILSVRC2012_val_00027828.JPEG
43876,43876_ILSVRC2012_val_00006818.JPEG
44198,44198_ILSVRC2012_val_00032508.JPEG
46624,46624_ILSVRC2012_val_00033177.JPEG
47562,47562_ILSVRC2012_val_00039745.JPEG
47813,47813_ILSVRC2012_val_00018381.JPEG
48060,48060_ILSVRC2012_val_00004643.JPEG
48619,48619_ILSVRC2012_val_00000517.JPEG
49028,49028_ILSVRC2012_val_00047690.JPEG
49031,49031_ILSVRC2012_val_00004141.JPEG
49099,49099_ILSVRC2012_val_00020790.JPEG
49218,49218_ILSVRC2012_val_00005979.JPEG
49286,49286_ILSVRC2012_val_00029361.JPEG
49471,49471_ILSVRC2012_val_00010552.JPEG
49499,49499_ILSVRC2012_val_00045465.JPEG
49691,49691_ILSVRC2012_val_00046388.JPEG
49794,49794_ILSVRC2012_val_00012978.JPEG
