rank,image_path
73,73_ILSVRC2012_val_00035899.JPEG
2273,2273_ILSVRC2012_val_00035133.JPEG
3429,3429_ILSVRC2012_val_00017749.JPEG
6191,6191_ILSVRC2012_val_00010481.JPEG
6224,6224_ILSVRC2012_val_00031442.JPEG
6417,6417_ILSVRC2012_val_00011327.JPEG
7039,7039_ILSVRC2012_val_00010715.JPEG
7948,7948_ILSVRC2012_val_00014692.JPEG
9608,9608_ILSVRC2012_val_00019112.JPEG
9743,9743_ILSVRC2012_val_00048202.JPEG
12362,12362_ILSVRC2012_val_00020753.JPEG
12532,12532_ILSVRC2012_val_00010892.JPEG
12622,12622_ILSVRC2012_val_00038099.JPEG
15452,15452_ILSVRC2012_val_00013081.JPEG
15497,15497_ILSVRC2012_val_00016109.JPEG
16539,16539_ILSVRC2012_val_00001854.JPEG
20746,20746_ILSVRC2012_val_00022662.JPEG
20954,20954_ILSVRC2012_val_00001085.JPEG
21384,21384_ILSVRC2012_val_00037186.JPEG
21882,21882_ILSVRC2012_val_00043775.JPEG
22704,22704_ILSVRC2012_val_00004062.JPEG
23498,23498_ILSVRC2012_val_00034113.JPEG
24372,24372_ILSVRC2012_val_00032853.JPEG
26689,26689_ILSVRC2012_val_00037387.JPEG
26939,26939_ILSVRC2012_val_00025977.JPEG
27063,27063_ILSVRC2012_val_00041859.JPEG
28119,28119_ILSVRC2012_val_00044493.JPEG
28283,28283_ILSVRC2012_val_00014371.JPEG
29629,29629_ILSVRC2012_val_00012650.JPEG
29639,29639_ILSVRC2012_val_00003744.JPEG
30127,30127_ILSVRC2012_val_00008413.JPEG
31334,31334_ILSVRC2012_val_00011300.JPEG
31545,31545_ILSVRC2012_val_00005256.JPEG
32344,32344_ILSVRC2012_val_00044051.JPEG
33451,33451_ILSVRC2012_val_00019288.JPEG
33648,33648_ILSVRC2012_val_00012086.JPEG
34303,34303_ILSVRC2012_val_00041089.JPEG
36784,36784_ILSVRC2012_val_00011905.JPEG
38494,38494_ILSVRC2012_val_00037463.JPEG
39920,39920_ILSVRC2012_val_00024065.JPEG
41833,41833_ILSVRC2012_val_00014347.JPEG
42300,42300_ILSVRC2012_val_00043715.JPEG
42398,42398_ILSVRC2012_val_00006160.JPEG
43843,43843_ILSVRC2012_val_00045725.JPEG
45217,45217_ILSVRC2012_val_00030477.JPEG
46117,46117_ILSVRC2012_val_00026322.JPEG
46555,46555_ILSVRC2012_val_00007364.JPEG
47112,47112_ILSVRC2012_val_00048898.JPEG
48237,48237_ILSVRC2012_val_00049582.JPEG
48661,48661_ILSVRC2012_val_00012816.JPEG
