rank,image_path
724,724_ILSVRC2012_val_00016321.JPEG
2296,2296_ILSVRC2012_val_00005818.JPEG
3265,3265_ILSVRC2012_val_00002890.JPEG
3858,3858_ILSVRC2012_val_00009580.JPEG
4469,4469_ILSVRC2012_val_00020543.JPEG
6595,6595_ILSVRC2012_val_00024599.JPEG
6680,6680_ILSVRC2012_val_00041669.JPEG
9010,9010_ILSVRC2012_val_00014875.JPEG
9695,9695_ILSVRC2012_val_00001703.JPEG
9756,9756_ILSVRC2012_val_00007719.JPEG
10292,10292_ILSVRC2012_val_00019966.JPEG
10345,10345_ILSVRC2012_val_00014021.JPEG
12365,12365_ILSVRC2012_val_00006098.JPEG
12953,12953_ILSVRC2012_val_00013215.JPEG
13046,13046_ILSVRC2012_val_00006284.JPEG
13458,13458_ILSVRC2012_val_00031596.JPEG
13782,13782_ILSVRC2012_val_00032086.JPEG
13968,13968_ILSVRC2012_val_00026018.JPEG
14547,14547_ILSVRC2012_val_00035264.JPEG
14921,14921_ILSVRC2012_val_00014828.JPEG
15247,15247_ILSVRC2012_val_00013992.JPEG
15469,15469_ILSVRC2012_val_00014943.JPEG
16296,16296_ILSVRC2012_val_00001042.JPEG
16634,16634_ILSVRC2012_val_00018034.JPEG
16999,16999_ILSVRC2012_val_00025283.JPEG
17258,17258_ILSVRC2012_val_00046516.JPEG
18675,18675_ILSVRC2012_val_00040777.JPEG
18812,18812_ILSVRC2012_val_00049143.JPEG
21920,21920_ILSVRC2012_val_00007795.JPEG
23074,23074_ILSVRC2012_val_00026571.JPEG
23946,23946_ILSVRC2012_val_00014069.JPEG
25518,25518_ILSVRC2012_val_00047852.JPEG
25794,25794_ILSVRC2012_val_00020274.JPEG
27550,27550_ILSVRC2012_val_00047238.JPEG
27571,27571_ILSVRC2012_val_00013802.JPEG
27860,27860_ILSVRC2012_val_00032358.JPEG
28034,28034_ILSVRC2012_val_00035019.JPEG
28447,28447_ILSVRC2012_val_00027773.JPEG
28661,28661_ILSVRC2012_val_00026548.JPEG
31164,31164_ILSVRC2012_val_00028092.JPEG
31268,31268_ILSVRC2012_val_00041379.JPEG
31784,31784_ILSVRC2012_val_00013751.JPEG
36897,36897_ILSVRC2012_val_00041856.JPEG
37208,37208_ILSVRC2012_val_00015488.JPEG
37558,37558_ILSVRC2012_val_00042082.JPEG
40033,40033_ILSVRC2012_val_00018398.JPEG
40415,40415_ILSVRC2012_val_00042312.JPEG
43698,43698_ILSVRC2012_val_00004351.JPEG
45563,45563_ILSVRC2012_val_00018041.JPEG
47230,47230_ILSVRC2012_val_00036615.JPEG
