rank,image_path
187,187_ILSVRC2012_val_00035807.JPEG
413,413_ILSVRC2012_val_00010767.JPEG
896,896_ILSVRC2012_val_00017660.JPEG
1297,1297_ILSVRC2012_val_00014336.JPEG
1648,1648_ILSVRC2012_val_00039814.JPEG
2500,2500_ILSVRC2012_val_00022407.JPEG
2868,2868_ILSVRC2012_val_00029495.JPEG
2949,2949_ILSVRC2012_val_00009092.JPEG
3190,3190_ILSVRC2012_val_00024704.JPEG
3216,3216_ILSVRC2012_val_00014362.JPEG
3827,3827_ILSVRC2012_val_00047592.JPEG
4044,4044_ILSVRC2012_val_00028607.JPEG
4880,4880_ILSVRC2012_val_00027535.JPEG
4895,4895_ILSVRC2012_val_00038488.JPEG
5063,5063_ILSVRC2012_val_00005833.JPEG
6108,6108_ILSVRC2012_val_00019038.JPEG
6128,6128_ILSVRC2012_val_00040426.JPEG
6589,6589_ILSVRC2012_val_00020610.JPEG
6741,6741_ILSVRC2012_val_00040538.JPEG
6879,6879_ILSVRC2012_val_00018692.JPEG
7304,7304_ILSVRC2012_val_00039913.JPEG
7793,7793_ILSVRC2012_val_00035131.JPEG
8465,8465_ILSVRC2012_val_00005412.JPEG
8814,8814_ILSVRC2012_val_00025035.JPEG
9120,9120_ILSVRC2012_val_00019208.JPEG
9240,9240_ILSVRC2012_val_00044311.JPEG
10111,10111_ILSVRC2012_val_00005594.JPEG
10966,10966_ILSVRC2012_val_00002825.JPEG
11614,11614_ILSVRC2012_val_00043300.JPEG
12552,12552_ILSVRC2012_val_00029417.JPEG
12577,12577_ILSVRC2012_val_00012651.JPEG
12638,12638_ILSVRC2012_val_00041944.JPEG
13019,13019_ILSVRC2012_val_00035060.JPEG
13179,13179_ILSVRC2012_val_00049776.JPEG
13200,13200_ILSVRC2012_val_00028224.JPEG
13979,13979_ILSVRC2012_val_00006030.JPEG
14257,14257_ILSVRC2012_val_00001598.JPEG
14279,14279_ILSVRC2012_val_00041152.JPEG
14382,14382_ILSVRC2012_val_00030701.JPEG
18593,18593_ILSVRC2012_val_00034482.JPEG
18656,18656_ILSVRC2012_val_00044378.JPEG
25174,25174_ILSVRC2012_val_00029627.JPEG
25846,25846_ILSVRC2012_val_00021239.JPEG
31518,31518_ILSVRC2012_val_00007667.JPEG
33260,33260_ILSVRC2012_val_00019082.JPEG
34288,34288_ILSVRC2012_val_00045294.JPEG
37534,37534_ILSVRC2012_val_00030475.JPEG
38562,38562_ILSVRC2012_val_00022186.JPEG
41081,41081_ILSVRC2012_val_00031273.JPEG
42353,42353_ILSVRC2012_val_00045150.JPEG
