rank,image_path
208,208_ILSVRC2012_val_00005869.JPEG
311,311_ILSVRC2012_val_00032402.JPEG
786,786_ILSVRC2012_val_00043830.JPEG
1559,1559_ILSVRC2012_val_00031288.JPEG
2202,2202_ILSVRC2012_val_00016428.JPEG
3509,3509_ILSVRC2012_val_00023621.JPEG
3639,3639_ILSVRC2012_val_00048619.JPEG
4357,4357_ILSVRC2012_val_00047867.JPEG
4640,4640_ILSVRC2012_val_00024377.JPEG
5637,5637_ILSVRC2012_val_00009257.JPEG
5966,5966_ILSVRC2012_val_00003882.JPEG
6515,6515_ILSVRC2012_val_00029748.JPEG
6734,6734_ILSVRC2012_val_00038887.JPEG
7262,7262_ILSVRC2012_val_00039805.JPEG
7694,7694_ILSVRC2012_val_00035596.JPEG
9553,9553_ILSVRC2012_val_00046627.JPEG
12628,12628_ILSVRC2012_val_00006444.JPEG
15399,15399_ILSVRC2012_val_00036855.JPEG
17953,17953_ILSVRC2012_val_00048425.JPEG
18196,18196_ILSVRC2012_val_00027542.JPEG
18556,18556_ILSVRC2012_val_00039728.JPEG
18830,18830_ILSVRC2012_val_00021871.JPEG
19195,19195_ILSVRC2012_val_00030072.JPEG
19563,19563_ILSVRC2012_val_00009957.JPEG
19704,19704_ILSVRC2012_val_00044545.JPEG
20061,20061_ILSVRC2012_val_00030607.JPEG
21867,21867_ILSVRC2012_val_00038922.JPEG
22581,22581_ILSVRC2012_val_00038810.JPEG
22989,22989_ILSVRC2012_val_00039072.JPEG
23403,23403_ILSVRC2012_val_00019670.JPEG
28413,28413_ILSVRC2012_val_00001465.JPEG
28820,28820_ILSVRC2012_val_00015612.JPEG
28923,28923_ILSVRC2012_val_00004532.JPEG
29153,29153_ILSVRC2012_val_00044519.JPEG
29653,29653_ILSVRC2012_val_00003277.JPEG
31389,31389_ILSVRC2012_val_00012272.JPEG
32723,32723_ILSVRC2012_val_00026200.JPEG
32998,32998_ILSVRC2012_val_00032185.JPEG
33590,33590_ILSVRC2012_val_00029043.JPEG
35116,35116_ILSVRC2012_val_00037735.JPEG
35363,35363_ILSVRC2012_val_00011513.JPEG
36994,36994_ILSVRC2012_val_00017319.JPEG
37142,37142_ILSVRC2012_val_00028442.JPEG
39057,39057_ILSVRC2012_val_00023830.JPEG
42885,42885_ILSVRC2012_val_00017120.JPEG
44048,44048_ILSVRC2012_val_00027118.JPEG
44854,44854_ILSVRC2012_val_00043700.JPEG
44861,44861_ILSVRC2012_val_00039619.JPEG
45630,45630_ILSVRC2012_val_00026868.JPEG
49126,49126_ILSVRC2012_val_00025978.JPEG
