rank,image_path
2240,2240_ILSVRC2012_val_00024718.JPEG
5146,5146_ILSVRC2012_val_00021087.JPEG
9367,9367_ILSVRC2012_val_00019637.JPEG
13990,13990_ILSVRC2012_val_00045740.JPEG
14247,14247_ILSVRC2012_val_00010285.JPEG
17109,17109_ILSVRC2012_val_00006812.JPEG
18273,18273_ILSVRC2012_val_00045591.JPEG
18295,18295_ILSVRC2012_val_00023847.JPEG
18525,18525_ILSVRC2012_val_00040506.JPEG
19421,19421_ILSVRC2012_val_00029802.JPEG
21048,21048_ILSVRC2012_val_00033544.JPEG
21995,21995_ILSVRC2012_val_00002068.JPEG
22047,22047_ILSVRC2012_val_00034276.JPEG
25294,25294_ILSVRC2012_val_00047995.JPEG
26158,26158_ILSVRC2012_val_00047297.JPEG
26473,26473_ILSVRC2012_val_00029521.JPEG
29401,29401_ILSVRC2012_val_00027502.JPEG
29866,29866_ILSVRC2012_val_00022457.JPEG
30794,30794_ILSVRC2012_val_00045931.JPEG
31170,31170_ILSVRC2012_val_00048965.JPEG
31429,31429_ILSVRC2012_val_00030687.JPEG
31749,31749_ILSVRC2012_val_00008699.JPEG
32267,32267_ILSVRC2012_val_00002975.JPEG
32531,32531_ILSVRC2012_val_00012191.JPEG
32532,32532_ILSVRC2012_val_00017649.JPEG
32591,32591_ILSVRC2012_val_00041072.JPEG
33513,33513_ILSVRC2012_val_00026816.JPEG
33554,33554_ILSVRC2012_val_00012896.JPEG
34663,34663_ILSVRC2012_val_00045496.JPEG
35273,35273_ILSVRC2012_val_00016361.JPEG
35872,35872_ILSVRC2012_val_00022604.JPEG
37795,37795_ILSVRC2012_val_00020995.JPEG
39132,39132_ILSVRC2012_val_00016436.JPEG
39406,39406_ILSVRC2012_val_00026605.JPEG
39456,39456_ILSVRC2012_val_00036087.JPEG
39898,39898_ILSVRC2012_val_00004233.JPEG
40159,40159_ILSVRC2012_val_00040574.JPEG
40530,40530_ILSVRC2012_val_00041648.JPEG
40846,40846_ILSVRC2012_val_00041888.JPEG
40934,40934_ILSVRC2012_val_00025670.JPEG
42043,42043_ILSVRC2012_val_00046608.JPEG
42518,42518_ILSVRC2012_val_00023860.JPEG
44303,44303_ILSVRC2012_val_00047947.JPEG
44484,44484_ILSVRC2012_val_00020871.JPEG
44935,44935_ILSVRC2012_val_00040482.JPEG
46074,46074_ILSVRC2012_val_00030979.JPEG
47070,47070_ILSVRC2012_val_00024308.JPEG
47264,47264_ILSVRC2012_val_00023036.JPEG
47543,47543_ILSVRC2012_val_00029474.JPEG
48002,48002_ILSVRC2012_val_00041228.JPEG
