rank,image_path
7,7_ILSVRC2012_val_00034657.JPEG
278,278_ILSVRC2012_val_00046335.JPEG
2658,2658_ILSVRC2012_val_00020715.JPEG
3920,3920_ILSVRC2012_val_00024941.JPEG
4430,4430_ILSVRC2012_val_00024972.JPEG
6530,6530_ILSVRC2012_val_00047864.JPEG
8952,8952_ILSVRC2012_val_00022964.JPEG
10822,10822_ILSVRC2012_val_00014641.JPEG
10906,10906_ILSVRC2012_val_00046634.JPEG
11133,11133_ILSVRC2012_val_00028809.JPEG
12985,12985_ILSVRC2012_val_00043168.JPEG
13730,13730_ILSVRC2012_val_00011804.JPEG
14115,14115_ILSVRC2012_val_00009058.JPEG
14261,14261_ILSVRC2012_val_00008159.JPEG
15475,15475_ILSVRC2012_val_00006682.JPEG
15743,15743_ILSVRC2012_val_00015586.JPEG
16619,16619_ILSVRC2012_val_00036904.JPEG
17280,17280_ILSVRC2012_val_00036922.JPEG
17653,17653_ILSVRC2012_val_00017679.JPEG
18321,18321_ILSVRC2012_val_00036869.JPEG
18360,18360_ILSVRC2012_val_00000673.JPEG
20535,20535_ILSVRC2012_val_00014003.JPEG
25085,25085_ILSVRC2012_val_00040575.JPEG
26133,26133_ILSVRC2012_val_00004761.JPEG
27130,27130_ILSVRC2012_val_00045041.JPEG
27189,27189_ILSVRC2012_val_00003260.JPEG
28737,28737_ILSVRC2012_val_00045255.JPEG
29867,29867_ILSVRC2012_val_00012795.JPEG
30286,30286_ILSVRC2012_val_00049676.JPEG
33777,33777_ILSVRC2012_val_00025042.JPEG
33998,33998_ILSVRC2012_val_00030435.JPEG
34104,34104_ILSVRC2012_val_00009736.JPEG
36960,36960_ILSVRC2012_val_00032761.JPEG
37386,37386_ILSVRC2012_val_00028942.JPEG
37680,37680_ILSVRC2012_val_00039538.JPEG
39150,39150_ILSVRC2012_val_00036726.JPEG
39409,39409_ILSVRC2012_val_00028182.JPEG
39994,39994_ILSVRC2012_val_00039518.JPEG
40306,40306_ILSVRC2012_val_00043084.JPEG
41046,41046_ILSVRC2012_val_00006297.JPEG
42659,42659_ILSVRC2012_val_00028114.JPEG
43079,43079_ILSVRC2012_val_00043019.JPEG
46184,46184_ILSVRC2012_val_00026817.JPEG
46839,46839_ILSVRC2012_val_00029866.JPEG
47352,47352_ILSVRC2012_val_00011366.JPEG
47863,47863_ILSVRC2012_val_00042195.JPEG
48462,48462_ILSVRC2012_val_00021311.JPEG
48496,48496_ILSVRC2012_val_00000614.JPEG
49034,49034_ILSVRC2012_val_00046661.JPEG
49070,49070_ILSVRC2012_val_00028954.JPEG
