rank,image_path
8937,8937_ILSVRC2012_val_00008150.JPEG
10231,10231_ILSVRC2012_val_00038468.JPEG
10755,10755_ILSVRC2012_val_00027733.JPEG
12796,12796_ILSVRC2012_val_00033114.JPEG
13601,13601_ILSVRC2012_val_00039529.JPEG
14368,14368_ILSVRC2012_val_00021665.JPEG
19864,19864_ILSVRC2012_val_00009182.JPEG
19899,19899_ILSVRC2012_val_00015494.JPEG
21137,21137_ILSVRC2012_val_00008190.JPEG
21655,21655_ILSVRC2012_val_00040149.JPEG
21731,21731_ILSVRC2012_val_00021481.JPEG
23400,23400_ILSVRC2012_val_00006686.JPEG
23676,23676_ILSVRC2012_val_00001815.JPEG
24011,24011_ILSVRC2012_val_00001423.JPEG
24903,24903_ILSVRC2012_val_00007650.JPEG
25245,25245_ILSVRC2012_val_00016341.JPEG
27826,27826_ILSVRC2012_val_00014401.JPEG
28055,28055_ILSVRC2012_val_00045769.JPEG
28632,28632_ILSVRC2012_val_00039660.JPEG
28989,28989_ILSVRC2012_val_00032635.JPEG
29799,29799_ILSVRC2012_val_00013890.JPEG
31743,31743_ILSVRC2012_val_00010284.JPEG
32137,32137_ILSVRC2012_val_00043471.JPEG
32513,32513_ILSVRC2012_val_00032357.JPEG
33215,33215_ILSVRC2012_val_00017206.JPEG
33424,33424_ILSVRC2012_val_00044631.JPEG
34300,34300_ILSVRC2012_val_00047207.JPEG
34664,34664_ILSVRC2012_val_00048812.JPEG
34830,34830_ILSVRC2012_val_00015442.JPEG
34931,34931_ILSVRC2012_val_00035230.JPEG
35397,35397_ILSVRC2012_val_00016073.JPEG
35762,35762_ILSVRC2012_val_00011033.JPEG
36182,36182_ILSVRC2012_val_00013893.JPEG
36690,36690_ILSVRC2012_val_00021610.JPEG
37082,37082_ILSVRC2012_val_00015707.JPEG
37119,37119_ILSVRC2012_val_00037979.JPEG
37816,37816_ILSVRC2012_val_00012529.JPEG
39020,39020_ILSVRC2012_val_00042247.JPEG
39422,39422_ILSVRC2012_val_00001091.JPEG
39593,39593_ILSVRC2012_val_00003571.JPEG
39675,39675_ILSVRC2012_val_00034393.JPEG
40474,40474_ILSVRC2012_val_00044791.JPEG
41343,41343_ILSVRC2012_val_00018820.JPEG
41790,41790_ILSVRC2012_val_00020839.JPEG
43691,43691_ILSVRC2012_val_00002918.JPEG
43956,43956_ILSVRC2012_val_00036057.JPEG
44301,44301_ILSVRC2012_val_00013746.JPEG
45328,45328_ILSVRC2012_val_00006418.JPEG
46942,46942_ILSVRC2012_val_00007472.JPEG
47835,47835_ILSVRC2012_val_00028818.JPEG
