rank,image_path
30469,30469_ILSVRC2012_val_00031567.JPEG
34434,34434_ILSVRC2012_val_00034850.JPEG
34994,34994_ILSVRC2012_val_00002810.JPEG
35736,35736_ILSVRC2012_val_00042871.JPEG
36640,36640_ILSVRC2012_val_00024781.JPEG
39417,39417_ILSVRC2012_val_00010831.JPEG
39427,39427_ILSVRC2012_val_00028962.JPEG
39504,39504_ILSVRC2012_val_00035949.JPEG
40812,40812_ILSVRC2012_val_00049455.JPEG
40818,40818_ILSVRC2012_val_00044524.JPEG
41351,41351_ILSVRC2012_val_00006324.JPEG
42349,42349_ILSVRC2012_val_00001269.JPEG
42618,42618_ILSVRC2012_val_00027099.JPEG
43586,43586_ILSVRC2012_val_00019442.JPEG
43887,43887_ILSVRC2012_val_00049392.JPEG
44148,44148_ILSVRC2012_val_00034252.JPEG
44182,44182_ILSVRC2012_val_00013766.JPEG
44573,44573_ILSVRC2012_val_00042892.JPEG
44692,44692_ILSVRC2012_val_00043058.JPEG
45476,45476_ILSVRC2012_val_00041664.JPEG
46378,46378_ILSVRC2012_val_00013135.JPEG
46644,46644_ILSVRC2012_val_00043526.JPEG
47449,47449_ILSVRC2012_val_00017005.JPEG
47846,47846_ILSVRC2012_val_00037523.JPEG
47849,47849_ILSVRC2012_val_00001526.JPEG
47934,47934_ILSVRC2012_val_00046292.JPEG
47956,47956_ILSVRC2012_val_00002676.JPEG
47978,47978_ILSVRC2012_val_00014614.JPEG
48255,48255_ILSVRC2012_val_00024674.JPEG
48487,48487_ILSVRC2012_val_00006175.JPEG
48499,48499_ILSVRC2012_val_00020595.JPEG
48802,48802_ILSVRC2012_val_00008286.JPEG
48805,48805_ILSVRC2012_val_00001571.JPEG
48820,48820_ILSVRC2012_val_00003507.JPEG
48826,48826_ILSVRC2012_val_00023853.JPEG
48845,48845_ILSVRC2012_val_00011928.JPEG
48880,48880_ILSVRC2012_val_00046431.JPEG
48921,48921_ILSVRC2012_val_00015386.JPEG
48993,48993_ILSVRC2012_val_00039362.JPEG
49019,49019_ILSVRC2012_val_00006186.JPEG
49100,49100_ILSVRC2012_val_00042975.JPEG
49199,49199_ILSVRC2012_val_00016014.JPEG
49348,49348_ILSVRC2012_val_00039436.JPEG
49438,49438_ILSVRC2012_val_00036252.JPEG
49589,49589_ILSVRC2012_val_00046058.JPEG
49695,49695_ILSVRC2012_val_00049412.JPEG
49765,49765_ILSVRC2012_val_00032994.JPEG
49877,49877_ILSVRC2012_val_00002598.JPEG
49891,49891_ILSVRC2012_val_00031893.JPEG
49928,49928_ILSVRC2012_val_00032388.JPEG
