rank,image_path
1736,1736_ILSVRC2012_val_00041020.JPEG
2222,2222_ILSVRC2012_val_00036689.JPEG
2397,2397_ILSVRC2012_val_00037541.JPEG
2743,2743_ILSVRC2012_val_00017322.JPEG
3080,3080_ILSVRC2012_val_00013652.JPEG
3903,3903_ILSVRC2012_val_00049626.JPEG
4586,4586_ILSVRC2012_val_00046317.JPEG
4847,4847_ILSVRC2012_val_00020849.JPEG
6267,6267_ILSVRC2012_val_00038871.JPEG
7654,7654_ILSVRC2012_val_00047304.JPEG
8252,8252_ILSVRC2012_val_00026867.JPEG
8357,8357_ILSVRC2012_val_00033855.JPEG
8913,8913_ILSVRC2012_val_00041218.JPEG
10205,10205_ILSVRC2012_val_00000529.JPEG
10461,10461_ILSVRC2012_val_00048635.JPEG
11227,11227_ILSVRC2012_val_00043031.JPEG
12187,12187_ILSVRC2012_val_00042444.JPEG
13518,13518_ILSVRC2012_val_00037561.JPEG
14456,14456_ILSVRC2012_val_00042874.JPEG
15907,15907_ILSVRC2012_val_00027410.JPEG
16278,16278_ILSVRC2012_val_00019114.JPEG
17282,17282_ILSVRC2012_val_00040033.JPEG
17286,17286_ILSVRC2012_val_00005914.JPEG
17669,17669_ILSVRC2012_val_00013619.JPEG
17782,17782_ILSVRC2012_val_00038909.JPEG
19214,19214_ILSVRC2012_val_00046799.JPEG
19273,19273_ILSVRC2012_val_00003811.JPEG
21633,21633_ILSVRC2012_val_00042949.JPEG
22672,22672_ILSVRC2012_val_00015336.JPEG
23065,23065_ILSVRC2012_val_00016884.JPEG
23112,23112_ILSVRC2012_val_00015572.JPEG
23425,23425_ILSVRC2012_val_00004546.JPEG
24606,24606_ILSVRC2012_val_00017929.JPEG
25576,25576_ILSVRC2012_val_00042288.JPEG
29208,29208_ILSVRC2012_val_00027675.JPEG
29272,29272_ILSVRC2012_val_00025234.JPEG
29284,29284_ILSVRC2012_val_00022183.JPEG
29371,29371_ILSVRC2012_val_00020796.JPEG
29472,29472_ILSVRC2012_val_00039388.JPEG
30044,30044_ILSVRC2012_val_00048689.JPEG
35448,35448_ILSVRC2012_val_00028903.JPEG
36457,36457_ILSVRC2012_val_00021407.JPEG
38246,38246_ILSVRC2012_val_00020135.JPEG
38322,38322_ILSVRC2012_val_00025967.JPEG
39277,39277_ILSVRC2012_val_00011208.JPEG
42145,42145_ILSVRC2012_val_00000255.JPEG
43145,43145_ILSVRC2012_val_00017491.JPEG
44030,44030_ILSVRC2012_val_00022622.JPEG
46462,46462_ILSVRC2012_val_00020452.JPEG
46803,46803_ILSVRC2012_val_00027740.JPEG
