rank,image_path
106,106_ILSVRC2012_val_00002504.JPEG
112,112_ILSVRC2012_val_00011255.JPEG
313,313_ILSVRC2012_val_00022358.JPEG
789,789_ILSVRC2012_val_00012330.JPEG
933,933_ILSVRC2012_val_00030675.JPEG
3483,3483_ILSVRC2012_val_00003574.JPEG
3723,3723_ILSVRC2012_val_00023081.JPEG
5197,5197_ILSVRC2012_val_00038217.JPEG
5616,5616_ILSVRC2012_val_00030365.JPEG
5841,5841_ILSVRC2012_val_00013809.JPEG
5998,5998_ILSVRC2012_val_00005360.JPEG
6683,6683_ILSVRC2012_val_00032166.JPEG
6973,6973_ILSVRC2012_val_00032540.JPEG
8297,8297_ILSVRC2012_val_00043231.JPEG
9981,9981_ILSVRC2012_val_00025926.JPEG
12371,12371_ILSVRC2012_val_00027866.JPEG
14738,14738_ILSVRC2012_val_00001472.JPEG
15077,15077_ILSVRC2012_val_00029634.JPEG
16884,16884_ILSVRC2012_val_00038726.JPEG
18325,18325_ILSVRC2012_val_00045435.JPEG
18453,18453_ILSVRC2012_val_00020975.JPEG
18498,18498_ILSVRC2012_val_00039641.JPEG
18754,18754_ILSVRC2012_val_00029409.JPEG
19165,19165_ILSVRC2012_val_00003149.JPEG
19425,19425_ILSVRC2012_val_00013004.JPEG
20452,20452_ILSVRC2012_val_00043549.JPEG
21022,21022_ILSVRC2012_val_00003335.JPEG
21153,21153_ILSVRC2012_val_00033000.JPEG
22200,22200_ILSVRC2012_val_00004302.JPEG
23234,23234_ILSVRC2012_val_00026593.JPEG
23316,23316_ILSVRC2012_val_00023070.JPEG
23346,23346_ILSVRC2012_val_00047983.JPEG
27517,27517_ILSVRC2012_val_00027024.JPEG
31059,31059_ILSVRC2012_val_00044328.JPEG
31951,31951_ILSVRC2012_val_00015925.JPEG
32437,32437_ILSVRC2012_val_00026125.JPEG
32492,32492_ILSVRC2012_val_00027457.JPEG
33566,33566_ILSVRC2012_val_00046758.JPEG
35503,35503_ILSVRC2012_val_00026339.JPEG
35552,35552_ILSVRC2012_val_00007193.JPEG
35560,35560_ILSVRC2012_val_00022732.JPEG
35562,35562_ILSVRC2012_val_00046767.JPEG
36359,36359_ILSVRC2012_val_00012176.JPEG
36598,36598_ILSVRC2012_val_00021764.JPEG
37652,37652_ILSVRC2012_val_00032816.JPEG
40851,40851_ILSVRC2012_val_00000033.JPEG
41454,41454_ILSVRC2012_val_00017786.JPEG
42306,42306_ILSVRC2012_val_00048240.JPEG
42343,42343_ILSVRC2012_val_00038371.JPEG
44400,44400_ILSVRC2012_val_00041773.JPEG
