rank,image_path
2765,2765_ILSVRC2012_val_00021527.JPEG
3361,3361_ILSVRC2012_val_00049459.JPEG
6653,6653_ILSVRC2012_val_00043066.JPEG
8445,8445_ILSVRC2012_val_00018851.JPEG
13421,13421_ILSVRC2012_val_00013132.JPEG
13632,13632_ILSVRC2012_val_00014459.JPEG
13657,13657_ILSVRC2012_val_00004232.JPEG
13820,13820_ILSVRC2012_val_00022173.JPEG
15060,15060_ILSVRC2012_val_00003880.JPEG
17198,17198_ILSVRC2012_val_00000455.JPEG
17201,17201_ILSVRC2012_val_00013928.JPEG
17392,17392_ILSVRC2012_val_00044973.JPEG
18039,18039_ILSVRC2012_val_00019628.JPEG
18262,18262_ILSVRC2012_val_00041825.JPEG
18765,18765_ILSVRC2012_val_00023481.JPEG
19400,19400_ILSVRC2012_val_00017898.JPEG
19543,19543_ILSVRC2012_val_00009691.JPEG
21994,21994_ILSVRC2012_val_00020913.JPEG
22970,22970_ILSVRC2012_val_00003291.JPEG
23227,23227_ILSVRC2012_val_00006159.JPEG
24964,24964_ILSVRC2012_val_00022813.JPEG
25190,25190_ILSVRC2012_val_00047826.JPEG
25638,25638_ILSVRC2012_val_00000083.JPEG
25806,25806_ILSVRC2012_val_00019741.JPEG
25878,25878_ILSVRC2012_val_00048293.JPEG
26406,26406_ILSVRC2012_val_00005271.JPEG
26658,26658_ILSVRC2012_val_00017800.JPEG
26838,26838_ILSVRC2012_val_00020229.JPEG
27091,27091_ILSVRC2012_val_00048329.JPEG
27323,27323_ILSVRC2012_val_00035624.JPEG
27417,27417_ILSVRC2012_val_00024337.JPEG
29030,29030_ILSVRC2012_val_00026045.JPEG
30798,30798_ILSVRC2012_val_00010257.JPEG
30970,30970_ILSVRC2012_val_00023354.JPEG
31311,31311_ILSVRC2012_val_00048900.JPEG
31431,31431_ILSVRC2012_val_00005401.JPEG
31524,31524_ILSVRC2012_val_00024574.JPEG
32082,32082_ILSVRC2012_val_00036014.JPEG
32568,32568_ILSVRC2012_val_00004257.JPEG
32708,32708_ILSVRC2012_val_00031651.JPEG
32765,32765_ILSVRC2012_val_00020365.JPEG
35934,35934_ILSVRC2012_val_00001899.JPEG
36255,36255_ILSVRC2012_val_00006064.JPEG
38028,38028_ILSVRC2012_val_00016285.JPEG
38775,38775_ILSVRC2012_val_00038439.JPEG
39393,39393_ILSVRC2012_val_00047526.JPEG
40612,40612_ILSVRC2012_val_00049275.JPEG
42367,42367_ILSVRC2012_val_00028940.JPEG
43362,43362_ILSVRC2012_val_00041646.JPEG
44529,44529_ILSVRC2012_val_00049450.JPEG
