rank,image_path
1573,1573_ILSVRC2012_val_00034414.JPEG
2892,2892_ILSVRC2012_val_00011516.JPEG
3280,3280_ILSVRC2012_val_00006852.JPEG
5808,5808_ILSVRC2012_val_00013908.JPEG
5885,5885_ILSVRC2012_val_00044909.JPEG
9618,9618_ILSVRC2012_val_00033918.JPEG
10637,10637_ILSVRC2012_val_00040507.JPEG
12270,12270_ILSVRC2012_val_00031266.JPEG
13852,13852_ILSVRC2012_val_00015342.JPEG
15996,15996_ILSVRC2012_val_00000527.JPEG
19262,19262_ILSVRC2012_val_00026850.JPEG
19818,19818_ILSVRC2012_val_00003842.JPEG
21099,21099_ILSVRC2012_val_00014474.JPEG
21528,21528_ILSVRC2012_val_00020429.JPEG
22207,22207_ILSVRC2012_val_00013514.JPEG
22227,22227_ILSVRC2012_val_00034535.JPEG
23472,23472_ILSVRC2012_val_00038386.JPEG
24259,24259_ILSVRC2012_val_00028999.JPEG
25995,25995_ILSVRC2012_val_00022250.JPEG
26262,26262_ILSVRC2012_val_00049798.JPEG
27705,27705_ILSVRC2012_val_00030436.JPEG
30018,30018_ILSVRC2012_val_00039813.JPEG
30345,30345_ILSVRC2012_val_00026601.JPEG
31883,31883_ILSVRC2012_val_00021217.JPEG
31984,31984_ILSVRC2012_val_00038593.JPEG
32144,32144_ILSVRC2012_val_00031860.JPEG
32192,32192_ILSVRC2012_val_00024446.JPEG
33060,33060_ILSVRC2012_val_00003105.JPEG
33880,33880_ILSVRC2012_val_00048319.JPEG
35406,35406_ILSVRC2012_val_00032213.JPEG
35696,35696_ILSVRC2012_val_00003017.JPEG
37094,37094_ILSVRC2012_val_00031008.JPEG
37615,37615_ILSVRC2012_val_00013948.JPEG
38159,38159_ILSVRC2012_val_00010492.JPEG
38161,38161_ILSVRC2012_val_00026264.JPEG
38415,38415_ILSVRC2012_val_00025112.JPEG
38693,38693_ILSVRC2012_val_00007505.JPEG
39002,39002_ILSVRC2012_val_00015822.JPEG
40192,40192_ILSVRC2012_val_00041879.JPEG
41901,41901_ILSVRC2012_val_00026834.JPEG
42719,42719_ILSVRC2012_val_00016761.JPEG
42752,42752_ILSVRC2012_val_00032539.JPEG
43114,43114_ILSVRC2012_val_00016871.JPEG
43329,43329_ILSVRC2012_val_00048176.JPEG
44128,44128_ILSVRC2012_val_00046099.JPEG
44982,44982_ILSVRC2012_val_00035393.JPEG
45593,45593_ILSVRC2012_val_00032893.JPEG
47685,47685_ILSVRC2012_val_00040307.JPEG
48812,48812_ILSVRC2012_val_00029931.JPEG
49158,49158_ILSVRC2012_val_00013627.JPEG
