rank,image_path
1794,1794_ILSVRC2012_val_00005174.JPEG
2578,2578_ILSVRC2012_val_00040109.JPEG
2917,2917_ILSVRC2012_val_00003869.JPEG
5600,5600_ILSVRC2012_val_00026153.JPEG
9758,9758_ILSVRC2012_val_00029652.JPEG
10688,10688_ILSVRC2012_val_00024329.JPEG
11097,11097_ILSVRC2012_val_00012549.JPEG
11368,11368_ILSVRC2012_val_00010125.JPEG
12508,12508_ILSVRC2012_val_00025289.JPEG
12783,12783_ILSVRC2012_val_00004744.JPEG
14148,14148_ILSVRC2012_val_00004989.JPEG
14728,14728_ILSVRC2012_val_00044353.JPEG
16644,16644_ILSVRC2012_val_00034815.JPEG
17046,17046_ILSVRC2012_val_00009488.JPEG
17903,17903_ILSVRC2012_val_00002222.JPEG
18956,18956_ILSVRC2012_val_00002558.JPEG
21025,21025_ILSVRC2012_val_00009848.JPEG
22699,22699_ILSVRC2012_val_00028192.JPEG
25040,25040_ILSVRC2012_val_00021426.JPEG
26812,26812_ILSVRC2012_val_00015119.JPEG
27000,27000_ILSVRC2012_val_00033775.JPEG
27329,27329_ILSVRC2012_val_00049653.JPEG
28162,28162_ILSVRC2012_val_00022656.JPEG
28361,28361_ILSVRC2012_val_00000105.JPEG
28620,28620_ILSVRC2012_val_00021362.JPEG
28937,28937_ILSVRC2012_val_00040641.JPEG
32296,32296_ILSVRC2012_val_00013728.JPEG
34170,34170_ILSVRC2012_val_00017515.JPEG
34333,34333_ILSVRC2012_val_00005758.JPEG
34821,34821_ILSVRC2012_val_00006610.JPEG
36431,36431_ILSVRC2012_val_00045634.JPEG
37087,37087_ILSVRC2012_val_00044231.JPEG
37724,37724_ILSVRC2012_val_00025048.JPEG
40238,40238_ILSVRC2012_val_00037202.JPEG
40567,40567_ILSVRC2012_val_00044453.JPEG
41774,41774_ILSVRC2012_val_00002765.JPEG
42257,42257_ILSVRC2012_val_00007102.JPEG
42783,42783_ILSVRC2012_val_00031646.JPEG
42894,42894_ILSVRC2012_val_00014259.JPEG
42907,42907_ILSVRC2012_val_00040875.JPEG
44019,44019_ILSVRC2012_val_00032532.JPEG
44151,44151_ILSVRC2012_val_00010450.JPEG
44397,44397_ILSVRC2012_val_00000799.JPEG
44514,44514_ILSVRC2012_val_00035805.JPEG
46191,46191_ILSVRC2012_val_00013549.JPEG
46358,46358_ILSVRC2012_val_00020815.JPEG
46793,46793_ILSVRC2012_val_00042451.JPEG
48175,48175_ILSVRC2012_val_00043476.JPEG
48316,48316_ILSVRC2012_val_00022686.JPEG
48651,48651_ILSVRC2012_val_00017158.JPEG
