rank,image_path
48,48_ILSVRC2012_val_00037139.JPEG
173,173_ILSVRC2012_val_00022864.JPEG
355,355_ILSVRC2012_val_00015459.JPEG
391,391_ILSVRC2012_val_00012662.JPEG
421,421_ILSVRC2012_val_00044929.JPEG
667,667_ILSVRC2012_val_00017341.JPEG
1396,1396_ILSVRC2012_val_00014391.JPEG
1497,1497_ILSVRC2012_val_00012283.JPEG
1697,1697_ILSVRC2012_val_00015239.JPEG
2088,2088_ILSVRC2012_val_00004601.JPEG
2569,2569_ILSVRC2012_val_00042443.JPEG
2957,2957_ILSVRC2012_val_00038199.JPEG
3463,3463_ILSVRC2012_val_00009067.JPEG
4661,4661_ILSVRC2012_val_00011219.JPEG
4668,4668_ILSVRC2012_val_00049976.JPEG
4672,4672_ILSVRC2012_val_00005312.JPEG
5771,5771_ILSVRC2012_val_00000322.JPEG
6189,6189_ILSVRC2012_val_00034780.JPEG
7286,7286_ILSVRC2012_val_00047048.JPEG
7839,7839_ILSVRC2012_val_00015894.JPEG
8230,8230_ILSVRC2012_val_00035314.JPEG
8616,8616_ILSVRC2012_val_00001721.JPEG
9544,9544_ILSVRC2012_val_00040228.JPEG
11877,11877_ILSVRC2012_val_00039135.JPEG
12375,12375_ILSVRC2012_val_00017860.JPEG
12545,12545_ILSVRC2012_val_00003766.JPEG
12793,12793_ILSVRC2012_val_00033947.JPEG
13115,13115_ILSVRC2012_val_00003299.JPEG
13483,13483_ILSVRC2012_val_00023656.JPEG
13757,13757_ILSVRC2012_val_00028802.JPEG
13803,13803_ILSVRC2012_val_00048581.JPEG
15763,15763_ILSVRC2012_val_00004808.JPEG
17928,17928_ILSVRC2012_val_00023119.JPEG
18472,18472_ILSVRC2012_val_00014343.JPEG
19683,19683_ILSVRC2012_val_00006283.JPEG
20005,20005_ILSVRC2012_val_00044511.JPEG
21793,21793_ILSVRC2012_val_00000446.JPEG
22334,22334_ILSVRC2012_val_00008722.JPEG
23621,23621_ILSVRC2012_val_00000447.JPEG
27089,27089_ILSVRC2012_val_00000273.JPEG
27559,27559_ILSVRC2012_val_00021874.JPEG
28872,28872_ILSVRC2012_val_00026215.JPEG
29986,29986_ILSVRC2012_val_00016741.JPEG
30163,30163_ILSVRC2012_val_00000181.JPEG
32025,32025_ILSVRC2012_val_00027295.JPEG
37105,37105_ILSVRC2012_val_00049081.JPEG
37156,37156_ILSVRC2012_val_00042428.JPEG
38619,38619_ILSVRC2012_val_00036461.JPEG
40968,40968_ILSVRC2012_val_00008517.JPEG
41690,41690_ILSVRC2012_val_00045193.JPEG
