rank,image_path
628,628_ILSVRC2012_val_00001635.JPEG
2705,2705_ILSVRC2012_val_00014937.JPEG
2855,2855_ILSVRC2012_val_00030219.JPEG
3218,3218_ILSVRC2012_val_00040633.JPEG
5228,5228_ILSVRC2012_val_00043213.JPEG
5749,5749_ILSVRC2012_val_00033290.JPEG
6550,6550_ILSVRC2012_val_00035383.JPEG
7899,7899_ILSVRC2012_val_00021060.JPEG
8977,8977_ILSVRC2012_val_00043274.JPEG
9271,9271_ILSVRC2012_val_00007304.JPEG
9337,9337_ILSVRC2012_val_00028688.JPEG
9446,9446_ILSVRC2012_val_00012051.JPEG
10704,10704_ILSVRC2012_val_00045657.JPEG
13047,13047_ILSVRC2012_val_00006464.JPEG
14107,14107_ILSVRC2012_val_00047037.JPEG
14840,14840_ILSVRC2012_val_00009318.JPEG
16886,16886_ILSVRC2012_val_00043997.JPEG
17165,17165_ILSVRC2012_val_00043419.JPEG
18090,18090_ILSVRC2012_val_00048325.JPEG
19569,19569_ILSVRC2012_val_00033121.JPEG
19957,19957_ILSVRC2012_val_00022477.JPEG
20554,20554_ILSVRC2012_val_00043948.JPEG
23931,23931_ILSVRC2012_val_00021964.JPEG
26210,26210_ILSVRC2012_val_00010211.JPEG
27803,27803_ILSVRC2012_val_00037530.JPEG
27832,27832_ILSVRC2012_val_00030636.JPEG
28007,28007_ILSVRC2012_val_00040867.JPEG
28883,28883_ILSVRC2012_val_00013058.JPEG
29111,29111_ILSVRC2012_val_00024829.JPEG
29884,29884_ILSVRC2012_val_00015563.JPEG
31036,31036_ILSVRC2012_val_00046094.JPEG
31768,31768_ILSVRC2012_val_00000266.JPEG
33342,33342_ILSVRC2012_val_00004446.JPEG
35232,35232_ILSVRC2012_val_00014778.JPEG
35901,35901_ILSVRC2012_val_00013545.JPEG
36498,36498_ILSVRC2012_val_00015662.JPEG
37805,37805_ILSVRC2012_val_00014482.JPEG
37841,37841_ILSVRC2012_val_00024297.JPEG
38091,38091_ILSVRC2012_val_00012150.JPEG
38348,38348_ILSVRC2012_val_00008565.JPEG
40473,40473_ILSVRC2012_val_00027531.JPEG
41230,41230_ILSVRC2012_val_00029103.JPEG
41654,41654_ILSVRC2012_val_00007048.JPEG
44302,44302_ILSVRC2012_val_00026669.JPEG
44502,44502_ILSVRC2012_val_00049850.JPEG
44818,44818_ILSVRC2012_val_00043886.JPEG
45919,45919_ILSVRC2012_val_00001599.JPEG
48031,48031_ILSVRC2012_val_00030423.JPEG
48926,48926_ILSVRC2012_val_00013019.JPEG
49160,49160_ILSVRC2012_val_00014178.JPEG
