rank,image_path
17561,17561_ILSVRC2012_val_00037839.JPEG
21484,21484_ILSVRC2012_val_00024441.JPEG
24503,24503_ILSVRC2012_val_00002133.JPEG
25376,25376_ILSVRC2012_val_00039816.JPEG
30559,30559_ILSVRC2012_val_00031182.JPEG
30644,30644_ILSVRC2012_val_00027566.JPEG
30959,30959_ILSVRC2012_val_00034714.JPEG
31253,31253_ILSVRC2012_val_00019166.JPEG
32218,32218_ILSVRC2012_val_00039155.JPEG
32521,32521_ILSVRC2012_val_00029588.JPEG
34390,34390_ILSVRC2012_val_00043621.JPEG
34865,34865_ILSVRC2012_val_00005029.JPEG
34881,34881_ILSVRC2012_val_00013786.JPEG
35310,35310_ILSVRC2012_val_00028002.JPEG
35968,35968_ILSVRC2012_val_00030759.JPEG
36205,36205_ILSVRC2012_val_00006994.JPEG
37580,37580_ILSVRC2012_val_00023822.JPEG
39432,39432_ILSVRC2012_val_00012461.JPEG
39493,39493_ILSVRC2012_val_00001922.JPEG
40097,40097_ILSVRC2012_val_00032561.JPEG
40304,40304_ILSVRC2012_val_00043547.JPEG
40794,40794_ILSVRC2012_val_00008260.JPEG
40990,40990_ILSVRC2012_val_00001672.JPEG
41134,41134_ILSVRC2012_val_00023229.JPEG
41715,41715_ILSVRC2012_val_00007316.JPEG
43853,43853_ILSVRC2012_val_00032326.JPEG
44126,44126_ILSVRC2012_val_00026369.JPEG
44702,44702_ILSVRC2012_val_00039462.JPEG
46107,46107_ILSVRC2012_val_00010159.JPEG
46370,46370_ILSVRC2012_val_00020036.JPEG
47044,47044_ILSVRC2012_val_00027171.JPEG
47241,47241_ILSVRC2012_val_00025138.JPEG
47401,47401_ILSVRC2012_val_00019350.JPEG
47524,47524_ILSVRC2012_val_00022053.JPEG
48035,48035_ILSVRC2012_val_00043429.JPEG
48065,48065_ILSVRC2012_val_00044098.JPEG
48115,48115_ILSVRC2012_val_00024474.JPEG
48136,48136_ILSVRC2012_val_00030393.JPEG
48173,48173_ILSVRC2012_val_00014491.JPEG
48188,48188_ILSVRC2012_val_00029531.JPEG
48193,48193_ILSVRC2012_val_00018157.JPEG
48547,48547_ILSVRC2012_val_00016803.JPEG
48868,48868_ILSVRC2012_val_00031902.JPEG
49079,49079_ILSVRC2012_val_00024899.JPEG
49117,49117_ILSVRC2012_val_00047506.JPEG
49119,49119_ILSVRC2012_val_00002607.JPEG
49174,49174_ILSVRC2012_val_00049243.JPEG
49279,49279_ILSVRC2012_val_00006598.JPEG
49846,49846_ILSVRC2012_val_00014122.JPEG
49926,49926_ILSVRC2012_val_00045073.JPEG
