rank,image_path
1331,1331_ILSVRC2012_val_00034838.JPEG
3793,3793_ILSVRC2012_val_00009962.JPEG
8098,8098_ILSVRC2012_val_00036917.JPEG
13085,13085_ILSVRC2012_val_00040031.JPEG
18662,18662_ILSVRC2012_val_00031966.JPEG
19416,19416_ILSVRC2012_val_00009031.JPEG
19463,19463_ILSVRC2012_val_00037218.JPEG
20342,20342_ILSVRC2012_val_00011628.JPEG
21899,21899_ILSVRC2012_val_00014737.JPEG
22481,22481_ILSVRC2012_val_00044635.JPEG
23483,23483_ILSVRC2012_val_00046781.JPEG
23921,23921_ILSVRC2012_val_00024838.JPEG
24972,24972_ILSVRC2012_val_00015782.JPEG
25114,25114_ILSVRC2012_val_00019452.JPEG
26596,26596_ILSVRC2012_val_00049104.JPEG
27460,27460_ILSVRC2012_val_00035322.JPEG
28794,28794_ILSVRC2012_val_00031997.JPEG
29989,29989_ILSVRC2012_val_00004382.JPEG
30139,30139_ILSVRC2012_val_00041195.JPEG
30359,30359_ILSVRC2012_val_00041691.JPEG
31819,31819_ILSVRC2012_val_00037694.JPEG
31979,31979_ILSVRC2012_val_00049659.JPEG
32040,32040_ILSVRC2012_val_00036978.JPEG
32418,32418_ILSVRC2012_val_00008244.JPEG
32645,32645_ILSVRC2012_val_00042607.JPEG
33779,33779_ILSVRC2012_val_00042763.JPEG
38029,38029_ILSVRC2012_val_00048533.JPEG
38496,38496_ILSVRC2012_val_00027568.JPEG
39457,39457_ILSVRC2012_val_00039410.JPEG
39831,39831_ILSVRC2012_val_00037493.JPEG
39983,39983_ILSVRC2012_val_00047742.JPEG
40317,40317_ILSVRC2012_val_00028998.JPEG
40623,40623_ILSVRC2012_val_00022558.JPEG
40821,40821_ILSVRC2012_val_00048836.JPEG
41479,41479_ILSVRC2012_val_00047522.JPEG
41952,41952_ILSVRC2012_val_00045817.JPEG
42463,42463_ILSVRC2012_val_00045168.JPEG
43392,43392_ILSVRC2012_val_00045434.JPEG
43496,43496_ILSVRC2012_val_00028294.JPEG
44012,44012_ILSVRC2012_val_00028508.JPEG
44447,44447_ILSVRC2012_val_00031079.JPEG
45517,45517_ILSVRC2012_val_00044745.JPEG
45616,45616_ILSVRC2012_val_00008398.JPEG
45698,45698_ILSVRC2012_val_00007228.JPEG
45912,45912_ILSVRC2012_val_00013439.JPEG
46766,46766_ILSVRC2012_val_00004635.JPEG
46838,46838_ILSVRC2012_val_00024097.JPEG
47715,47715_ILSVRC2012_val_00015735.JPEG
48646,48646_ILSVRC2012_val_00034329.JPEG
49965,49965_ILSVRC2012_val_00033872.JPEG
