rank,image_path
1682,1682_ILSVRC2012_val_00021629.JPEG
1766,1766_ILSVRC2012_val_00040037.JPEG
2538,2538_ILSVRC2012_val_00004357.JPEG
3081,3081_ILSVRC2012_val_00026745.JPEG
3235,3235_ILSVRC2012_val_00037969.JPEG
3534,3534_ILSVRC2012_val_00032530.JPEG
4762,4762_ILSVRC2012_val_00042806.JPEG
5646,5646_ILSVRC2012_val_00033247.JPEG
6506,6506_ILSVRC2012_val_00019550.JPEG
8159,8159_ILSVRC2012_val_00047441.JPEG
8266,8266_ILSVRC2012_val_00030465.JPEG
11951,11951_ILSVRC2012_val_00038315.JPEG
14102,14102_ILSVRC2012_val_00014384.JPEG
14570,14570_ILSVRC2012_val_00010743.JPEG
14847,14847_ILSVRC2012_val_00034580.JPEG
15428,15428_ILSVRC2012_val_00011140.JPEG
16532,16532_ILSVRC2012_val_00013305.JPEG
17327,17327_ILSVRC2012_val_00035527.JPEG
17890,17890_ILSVRC2012_val_00010384.JPEG
18229,18229_ILSVRC2012_val_00019934.JPEG
19296,19296_ILSVRC2012_val_00032542.JPEG
21453,21453_ILSVRC2012_val_00008554.JPEG
21974,21974_ILSVRC2012_val_00028556.JPEG
22529,22529_ILSVRC2012_val_00036927.JPEG
24473,24473_ILSVRC2012_val_00000886.JPEG
25155,25155_ILSVRC2012_val_00042582.JPEG
25623,25623_ILSVRC2012_val_00046653.JPEG
25956,25956_ILSVRC2012_val_00028212.JPEG
27171,27171_ILSVRC2012_val_00038602.JPEG
27567,27567_ILSVRC2012_val_00022147.JPEG
28089,28089_ILSVRC2012_val_00027973.JPEG
28289,28289_ILSVRC2012_val_00017526.JPEG
30171,30171_ILSVRC2012_val_00017224.JPEG
30789,30789_ILSVRC2012_val_00043959.JPEG
31321,31321_ILSVRC2012_val_00022678.JPEG
31359,31359_ILSVRC2012_val_00006018.JPEG
32444,32444_ILSVRC2012_val_00033271.JPEG
33223,33223_ILSVRC2012_val_00002343.JPEG
34000,34000_ILSVRC2012_val_00000461.JPEG
34351,34351_ILSVRC2012_val_00024988.JPEG
35061,35061_ILSVRC2012_val_00015194.JPEG
37388,37388_ILSVRC2012_val_00025707.JPEG
37714,37714_ILSVRC2012_val_00025007.JPEG
38232,38232_ILSVRC2012_val_00006238.JPEG
38492,38492_ILSVRC2012_val_00018457.JPEG
38647,38647_ILSVRC2012_val_00013692.JPEG
40026,40026_ILSVRC2012_val_00034474.JPEG
44306,44306_ILSVRC2012_val_00014623.JPEG
46527,46527_ILSVRC2012_val_00013755.JPEG
49414,49414_ILSVRC2012_val_00031469.JPEG
